"","version","compare_name"
"423","eDNA, top 500","Batrachocottus multiradiatus"
"424","eDNA, top 500","Batrachocottus nikolskii"
"425","eDNA, top 500","Batrachocottus talievi"
"426","eDNA, top 500","Beaufortia kweichowensis"
"427","eDNA, top 500","Beaufortia pingi"
"446","eDNA, top 500","Bero elegans"
"449","eDNA, top 500","Beryx mollis"
"450","eDNA, top 500","Beryx sp."
"451","eDNA, top 500","Biwia zezera"
"457","eDNA, top 500","Bodianus axillaris"
"462","eDNA, top 500","Boleophthalmus pectinirostris"
"463","eDNA, top 500","Boleophthalmus sp. JZ-2015"
"472","eDNA, top 500","Borostomias sp. CBM:ZF:14766"
"473","eDNA, top 500","Bothragonus occidentalis"
"481","eDNA, top 500","Bothrocarina microcephala"
"482","eDNA, top 500","Bothrocarina nigrocaudata"
"488","eDNA, top 500","Botia almorhae"
"489","eDNA, top 500","Botia dario"
"490","eDNA, top 500","Botia histrionica"
"491","eDNA, top 500","Botia lohachata"
"492","eDNA, top 500","Botia rostrata"
"493","eDNA, top 500","Brachionichthys hirsutus"
"498","eDNA, top 500","Brachymystax lenok"
"499","eDNA, top 500","Brachymystax tumensis"
"500","eDNA, top 500","Brachyopsis segaliensis"
"501","eDNA, top 500","Brachypterois serrulifer"
"512","eDNA, top 500","Brevoortia gunteri"
"513","eDNA, top 500","Brevoortia patronus"
"514","eDNA, top 500","Brevoortia tyrannus"
"516","eDNA, top 500","Brosme brosme"
"520","eDNA, top 500","Brotula sp. KAUM:I:88883"
"522","eDNA, top 500","Bryaninops yongei"
"523","eDNA, top 500","Brycon henni"
"526","eDNA, top 500","Buglossidium luteum"
"527","eDNA, top 500","Butis humeralis"
"529","eDNA, top 500","Butis sp. HYW-2001"
"531","eDNA, top 500","Caffrogobius gilchristi"
"541","eDNA, top 500","Callogobius maculipinnis"
"542","eDNA, top 500","Callogobius sclateri"
"543","eDNA, top 500","Callogobius sp. KAUM:I:104414"
"548","eDNA, top 500","Cantherhines macrocerus"
"599","eDNA, top 500","Careproctus cyclocephalus"
"621","eDNA, top 500","Careproctus sp. OCF-P20080722-1"
"625","eDNA, top 500","Caristius fasciatus"
"628","eDNA, top 500","Caristius sp. CBM:ZF:15591"
"633","eDNA, top 500","Catostomus commersonii"
"640","eDNA, top 500","Centrarchus macropterus"
"645","eDNA, top 500","Centrophryne spinulosa"
"661","eDNA, top 500","Cephalopholis aurantia"
"662","eDNA, top 500","Cephalopholis boenak"
"664","eDNA, top 500","Cephalopholis cyanostigma"
"665","eDNA, top 500","Cephalopholis formosa"
"667","eDNA, top 500","Cephalopholis igarashiensis"
"668","eDNA, top 500","Cephalopholis microprion"
"669","eDNA, top 500","Cephalopholis oligosticta"
"671","eDNA, top 500","Cephalopholis polleni"
"672","eDNA, top 500","Cephalopholis sexmaculata"
"673","eDNA, top 500","Cephalopholis sonnerati"
"674","eDNA, top 500","Cephalopholis spiloparaea"
"686","eDNA, top 500","Chaenogobius annularis"
"739","eDNA, top 500","Chelidonichthys cuculus"
"740","eDNA, top 500","Chelidonichthys kumu"
"741","eDNA, top 500","Chelidonichthys lastoviza"
"742","eDNA, top 500","Chelidonichthys lucerna"
"743","eDNA, top 500","Chelidonichthys spinosus"
"744","eDNA, top 500","Chelidoperca sp. OCF-P20081128"
"749","eDNA, top 500","Chiasmodon harteli"
"757","eDNA, top 500","Chimaera fulva"
"758","eDNA, top 500","Chimaera monstrosa"
"759","eDNA, top 500","Chimaera ogilbyi"
"760","eDNA, top 500","Chimaera opalescens"
"761","eDNA, top 500","Chimaera phantasma"
"762","eDNA, top 500","Chimaera sp. MNHN 2007-1555"
"763","eDNA, top 500","Chirolophis ascanii"
"767","eDNA, top 500","Chirolophis saitone"
"769","eDNA, top 500","Chirolophis wui"
"770","eDNA, top 500","Chitala chitala"
"798","eDNA, top 500","Chrosomus eos"
"799","eDNA, top 500","Chrosomus erythrogaster"
"800","eDNA, top 500","Chrosomus neogaeus"
"801","eDNA, top 500","Chrosomus oreas"
"802","eDNA, top 500","Chrosomus tennesseensis"
"803","eDNA, top 500","Chrysiptera galba"
"804","eDNA, top 500","Chrysiptera rapanui"
"805","eDNA, top 500","Chrysiptera starcki"
"806","eDNA, top 500","Cichlasoma sanctifranciscense"
"823","eDNA, top 500","Clarias batrachus"
"824","eDNA, top 500","Clarias camerunensis"
"825","eDNA, top 500","Clarias fuscus"
"826","eDNA, top 500","Clarias gabonensis"
"827","eDNA, top 500","Clarias gariepinus"
"828","eDNA, top 500","Clarias macrocephalus"
"829","eDNA, top 500","Clarias sp. CD-2019"
"830","eDNA, top 500","Clarias sp. NM-2010"
"832","eDNA, top 500","Cleisthenes pinetorum"
"840","eDNA, top 500","Clinostomus elongatus"
"841","eDNA, top 500","Clinostomus funduloides"
"845","eDNA, top 500","Clupeichthys aesarnensis"
"846","eDNA, top 500","Clupeonella cultriventris"
"854","eDNA, top 500","Coelorinchus japonicus"
"857","eDNA, top 500","Coilia brachygnathus"
"858","eDNA, top 500","Coilia grayii"
"859","eDNA, top 500","Coilia lindmani"
"861","eDNA, top 500","Coilia nasus"
"862","eDNA, top 500","Coilia reynaldi"
"865","eDNA, top 500","Colossoma macropomum"
"866","eDNA, top 500","Comephorus baikalensis"
"867","eDNA, top 500","Comephorus dybowskii"
"876","eDNA, top 500","Conocara kreffti"
"877","eDNA, top 500","Conocara macropterum"
"878","eDNA, top 500","Conocara murrayi"
"879","eDNA, top 500","Conocara nigrum"
"881","eDNA, top 500","Conocara sp. ASIZP P0913760"
"882","eDNA, top 500","Conocara sp. ASIZP:0067999"
"885","eDNA, top 500","Copella arnoldi"
"887","eDNA, top 500","Coptodon zillii"
"892","eDNA, top 500","Coregonus artedi"
"894","eDNA, top 500","Coregonus baicalensis"
"895","eDNA, top 500","Coregonus chadary"
"897","eDNA, top 500","Coregonus hoyi"
"899","eDNA, top 500","Coregonus migratorius"
"903","eDNA, top 500","Coregonus zenithicus"
"904","eDNA, top 500","Coreobagrus brevicorpus"
"905","eDNA, top 500","Coreobagrus ichikawai"
"906","eDNA, top 500","Coreoleuciscus aeruginos"
"907","eDNA, top 500","Coreoleuciscus splendidus"
"927","eDNA, top 500","Cottiusculus gonez"
"928","eDNA, top 500","Cottiusculus nihonkaiensis"
"929","eDNA, top 500","Cottiusculus schmidti"
"930","eDNA, top 500","Cottocomephorus grewingkii"
"931","eDNA, top 500","Cottocomephorus inermis"
"932","eDNA, top 500","Cottunculus microps"
"933","eDNA, top 500","Cottunculus thomsonii"
"935","eDNA, top 500","Cottus amblystomopsis"
"937","eDNA, top 500","Cottus bairdii"
"938","eDNA, top 500","Cottus beldingii"
"939","eDNA, top 500","Cottus bendirei"
"940","eDNA, top 500","Cottus carolinae"
"941","eDNA, top 500","Cottus cognatus"
"942","eDNA, top 500","Cottus confusus"
"943","eDNA, top 500","Cottus czerskii"
"944","eDNA, top 500","Cottus dzungaricus"
"945","eDNA, top 500","Cottus gobio"
"946","eDNA, top 500","Cottus gulosus"
"947","eDNA, top 500","Cottus hangiongensis"
"948","eDNA, top 500","Cottus klamathensis"
"949","eDNA, top 500","Cottus koreanus"
"950","eDNA, top 500","Cottus marginatus"
"951","eDNA, top 500","Cottus nozawae"
"952","eDNA, top 500","Cottus perifretum"
"953","eDNA, top 500","Cottus perplexus"
"954","eDNA, top 500","Cottus pitensis"
"955","eDNA, top 500","Cottus poecilopus"
"956","eDNA, top 500","Cottus pollux"
"957","eDNA, top 500","Cottus princeps"
"958","eDNA, top 500","Cottus reinii"
"959","eDNA, top 500","Cottus rhenanus"
"960","eDNA, top 500","Cottus rhotheus"
"961","eDNA, top 500","Cottus ricei"
"962","eDNA, top 500","Cottus sp. ME"
"963","eDNA, top 500","Cottus sp. OGA-1"
"964","eDNA, top 500","Cottus szanaga"
"965","eDNA, top 500","Cottus tenuis"
"966","eDNA, top 500","Cottus volki"
"967","eDNA, top 500","Couesius plumbeus"
"970","eDNA, top 500","Cryptacanthodes bergi"
"972","eDNA, top 500","Cryptocentroides insignis"
"973","eDNA, top 500","Cryptocentrus nigrocellatus"
"977","eDNA, top 500","Crystallaria asprella"
"983","eDNA, top 500","Ctenopoma acutirostre"
"990","eDNA, top 500","Cyclopteropsis bergi"
"991","eDNA, top 500","Cyclopteropsis lindbergi"
"992","eDNA, top 500","Cyclopterus lumpus"
"1011","eDNA, top 500","Cyphocharax gilbert"
"1012","eDNA, top 500","Cyprinella leedsi"
"1013","eDNA, top 500","Cyprinella monacha"
"1035","eDNA, top 500","Dario dayingensis"
"1043","eDNA, top 500","Davidijordania poecilimon"
"1051","eDNA, top 500","Decodon pacificus"
"1052","eDNA, top 500","Delturus carinotus"
"1054","eDNA, top 500","Dendrochirus biocellatus"
"1055","eDNA, top 500","Dendrochirus brachypterus"
"1056","eDNA, top 500","Dendrochirus zebra"
"1063","eDNA, top 500","Deveximentum megalolepis"
"1064","eDNA, top 500","Dexistes rikuzenius"
"1096","eDNA, top 500","Dictyosoma burgeri"
"1103","eDNA, top 500","Dionda diaboli"
"1104","eDNA, top 500","Dionda episcopa"
"1114","eDNA, top 500","Diplomystes nahuelbutaensis"
"1118","eDNA, top 500","Diretmoides veriginae"
"1119","eDNA, top 500","Diretmus argenteus"
"1120","eDNA, top 500","Ditrema jordani"
"1121","eDNA, top 500","Ditrema temminckii"
"1122","eDNA, top 500","Ditrema viride"
"1124","eDNA, top 500","Doboatherina aetholepis"
"1135","eDNA, top 500","Dorosoma petenense"
"1140","eDNA, top 500","Drepane africana"
"1141","eDNA, top 500","Drepane longimana"
"1142","eDNA, top 500","Drepane punctata"
"1148","eDNA, top 500","Ebinania brephocephala"
"1149","eDNA, top 500","Ebinania vermiculata"
"1158","eDNA, top 500","Ectreposebastes sp. CBM:ZF:15690"
"1162","eDNA, top 500","Elachocharax pulcher"
"1171","eDNA, top 500","Eleutheronema rhadinum"
"1172","eDNA, top 500","Eleutheronema tetradactylum"
"1196","eDNA, top 500","Engyprosopon macrolepis"
"1213","eDNA, top 500","Eopsetta grigorjewi"
"1220","eDNA, top 500","Epigonus pectinifer"
"1224","eDNA, top 500","Epinephelus fuscoguttatus"
"1227","eDNA, top 500","Epinephelus latifasciatus"
"1228","eDNA, top 500","Epinephelus poecilonotus"
"1230","eDNA, top 500","Epinephelus radiatus"
"1237","eDNA, top 500","Equulites elongatus"
"1238","eDNA, top 500","Eremichthys acros"
"1239","eDNA, top 500","Ereunias grallator"
"1241","eDNA, top 500","Erimystax dissimilis"
"1242","eDNA, top 500","Erimystax x-punctatus"
"1243","eDNA, top 500","Erimyzon oblongus"
"1244","eDNA, top 500","Ernogrammus hexagrammus"
"1246","eDNA, top 500","Erromyzon kalotaenia"
"1247","eDNA, top 500","Erromyzon sinensis"
"1255","eDNA, top 500","Etheostoma blennioides"
"1256","eDNA, top 500","Etheostoma burri"
"1257","eDNA, top 500","Etheostoma fonticola"
"1258","eDNA, top 500","Etheostoma nigripinne"
"1259","eDNA, top 500","Etheostoma nigrum"
"1260","eDNA, top 500","Etheostoma osburni"
"1261","eDNA, top 500","Etheostoma proeliare"
"1262","eDNA, top 500","Etheostoma punctulatum"
"1263","eDNA, top 500","Etheostoma sagitta"
"1264","eDNA, top 500","Etheostoma spectabile"
"1265","eDNA, top 500","Ethmalosa fimbriata"
"1266","eDNA, top 500","Ethmidium maculatum"
"1269","eDNA, top 500","Etropus microstomus"
"1273","eDNA, top 500","Etrumeus sadina"
"1287","eDNA, top 500","Eumicrotremus awae"
"1291","eDNA, top 500","Eumicrotremus pacificus"
"1300","eDNA, top 500","Eurypleuron owasianum"
"1341","eDNA, top 500","Eutaeniichthys gilli"
"1344","eDNA, top 500","Euthynnus alletteratus"
"1346","eDNA, top 500","Eutrigla gurnardus"
"1350","eDNA, top 500","Eviota abax"
"1351","eDNA, top 500","Eviota kermadecensis"
"1352","eDNA, top 500","Eviota sp. KAUM:I:101384"
"1353","eDNA, top 500","Eviota sp. KAUM:I:99019"
"1354","eDNA, top 500","Eviota sp. MOH084"
"1360","eDNA, top 500","Exoglossum maxillingua"
"1361","eDNA, top 500","Exostoma labiatum"
"1362","eDNA, top 500","Exostoma sp. CZ-2022"
"1363","eDNA, top 500","Exostoma tenuicaudatum"
"1364","eDNA, top 500","Exostoma tibetanum"
"1368","eDNA, top 500","Favonigobius gymnauchen"
"1369","eDNA, top 500","Favonigobius melanobranchus"
"1370","eDNA, top 500","Favonigobius sp. OCF-P3775"
"1381","eDNA, top 500","Freemanichthys thompsoni"
"1384","eDNA, top 500","Furcina osimae"
"1385","eDNA, top 500","Furcina sp. FMNH_Uncat"
"1388","eDNA, top 500","Gadiculus argenteus"
"1389","eDNA, top 500","Gadiculus thori"
"1393","eDNA, top 500","Gadus morhua"
"1394","eDNA, top 500","Gagata dolichonema"
"1395","eDNA, top 500","Galaxias tantangara"
"1400","eDNA, top 500","Gargariscus prionocephalus"
"1401","eDNA, top 500","Gasterochisma melampus"
"1404","eDNA, top 500","Gastromyzon scitulus"
"1405","eDNA, top 500","Gastromyzon zebrinus"
"1411","eDNA, top 500","Geophagus brasiliensis"
"1412","eDNA, top 500","Gephyroberyx japonicus"
"1428","eDNA, top 500","Gila atraria"
"1429","eDNA, top 500","Gila coerulea"
"1430","eDNA, top 500","Gila conspersa"
"1431","eDNA, top 500","Gila cypha"
"1432","eDNA, top 500","Gila ditaenia"
"1433","eDNA, top 500","Gila elegans"
"1434","eDNA, top 500","Gila nigra"
"1435","eDNA, top 500","Gila nigrescens"
"1436","eDNA, top 500","Gila orcuttii"
"1437","eDNA, top 500","Gila pandora"
"1438","eDNA, top 500","Gila robusta"
"1439","eDNA, top 500","Gila sp. 1460"
"1440","eDNA, top 500","Gilbertidia pustulosa"
"1441","eDNA, top 500","Gilchristella aestuaria"
"1452","eDNA, top 500","Glossanodon kotakamaru"
"1454","eDNA, top 500","Glossogobius aureus"
"1455","eDNA, top 500","Glossogobius flavipinnis"
"1458","eDNA, top 500","Glossogobius sp. KAUM:I:117597"
"1460","eDNA, top 500","Glyptocephalus kitaharae"
"1463","eDNA, top 500","Glyptothorax annandalei"
"1464","eDNA, top 500","Glyptothorax cavia"
"1465","eDNA, top 500","Glyptothorax deqinensis"
"1466","eDNA, top 500","Glyptothorax granosus"
"1467","eDNA, top 500","Glyptothorax lanceatus"
"1468","eDNA, top 500","Glyptothorax laosensis"
"1469","eDNA, top 500","Glyptothorax minimaculatus"
"1470","eDNA, top 500","Glyptothorax sinensis"
"1471","eDNA, top 500","Glyptothorax sp. CBM:ZF:11958"
"1472","eDNA, top 500","Glyptothorax telchitta"
"1473","eDNA, top 500","Glyptothorax trilineatus"
"1474","eDNA, top 500","Glyptothorax zanaensis"
"1476","eDNA, top 500","Gnathocharax sp. CBM:ZF:12623"
"1477","eDNA, top 500","Gnathocharax steindachneri"
"1479","eDNA, top 500","Gnathopogon caerulescens"
"1480","eDNA, top 500","Gnathopogon elongatus"
"1481","eDNA, top 500","Gnathopogon herzensteini"
"1482","eDNA, top 500","Gnathopogon polytaenia"
"1483","eDNA, top 500","Gnathopogon strigatus"
"1492","eDNA, top 500","Gobio acutipinnatus"
"1493","eDNA, top 500","Gobio huanghensis"
"1510","eDNA, top 500","Grammistops ocellatus"
"1512","eDNA, top 500","Gudusia chapra"
"1515","eDNA, top 500","Gymnelus andersoni"
"1517","eDNA, top 500","Gymnelus retrodorsalis"
"1518","eDNA, top 500","Gymnelus sp. ZMUB:21424"
"1519","eDNA, top 500","Gymnelus taeniatus"
"1521","eDNA, top 500","Gymnocanthus detrisus"
"1524","eDNA, top 500","Gymnocanthus intermedius"
"1527","eDNA, top 500","Gymnoclinus cristulatus"
"1528","eDNA, top 500","Gymnocranius sp. MOH-079"
"1529","eDNA, top 500","Gymnogobius macrognathos"
"1531","eDNA, top 500","Gymnosarda unicolor"
"1562","eDNA, top 500","Gyrinocheilus aymonieri"
"1566","eDNA, top 500","Hadropogonichthys leptopus"
"1591","eDNA, top 500","Hapalogenys kishinouyei"
"1592","eDNA, top 500","Harengula jaguana"
"1595","eDNA, top 500","Helicolenus avius"
"1596","eDNA, top 500","Helicolenus dactylopterus"
"1597","eDNA, top 500","Helicolenus hilgendorfii"
"1600","eDNA, top 500","Hemibarbus labeo"
"1601","eDNA, top 500","Hemibarbus medius"
"1602","eDNA, top 500","Hemibarbus umbrifer"
"1605","eDNA, top 500","Hemilepidotus gilberti"
"1611","eDNA, top 500","Hemiodus unimaculatus"
"1616","eDNA, top 500","Hemitripterus americanus"
"1622","eDNA, top 500","Herichthys carpintis"
"1623","eDNA, top 500","Herichthys cyanoguttatus"
"1625","eDNA, top 500","Herwigia kreffti"
"1626","eDNA, top 500","Hesperoleucus symmetricus"
"1635","eDNA, top 500","Heteropneustes fossilis"
"1638","eDNA, top 500","Heterotilapia buettikoferi"
"1639","eDNA, top 500","Hexagrammos agrammus"
"1647","eDNA, top 500","Hilsa kelee"
"1657","eDNA, top 500","Hippoglossina oblonga"
"1660","eDNA, top 500","Hippoglossoides dubius"
"1662","eDNA, top 500","Hippoglossoides platessoides"
"1664","eDNA, top 500","Hippoglossus hippoglossus"
"1678","eDNA, top 500","Hoplerythrinus unitaeniatus"
"1679","eDNA, top 500","Hoplias intermedius"
"1680","eDNA, top 500","Hoplias malabaricus"
"1681","eDNA, top 500","Hoplias sp. gr. malabaricus LMB-2020"
"1682","eDNA, top 500","Hoplias sp. I-GIA:1153"
"1685","eDNA, top 500","Howella brodiei"
"1689","eDNA, top 500","Hozukius emblemarius"
"1690","eDNA, top 500","Hucho bleekeri"
"1691","eDNA, top 500","Hucho hucho"
"1692","eDNA, top 500","Hucho taimen"
"1693","eDNA, top 500","Hybopsis lineapunctata"
"1694","eDNA, top 500","Hydrolagus affinis"
"1695","eDNA, top 500","Hydrolagus barbouri"
"1698","eDNA, top 500","Hydrolagus mitsukurii"
"1711","eDNA, top 500","Hypentelium nigricans"
"1712","eDNA, top 500","Hyperlophus vittatus"
"1717","eDNA, top 500","Hypoatherina golanii"
"1718","eDNA, top 500","Hypoatherina temminckii"
"1719","eDNA, top 500","Hypomasticus mormyrops"
"1720","eDNA, top 500","Hypomasticus steindachneri"
"1721","eDNA, top 500","Hypomasticus thayeri"
"1722","eDNA, top 500","Hypomesus japonicus"
"1728","eDNA, top 500","Hypoptychus dybowskii"
"1738","eDNA, top 500","Hypsagonus corniger"
"1745","eDNA, top 500","Hypsophrys nicaraguensis"
"1757","eDNA, top 500","Icelinus pietschi"
"1760","eDNA, top 500","Icelus bicornis"
"1762","eDNA, top 500","Icelus cataphractus"
"1764","eDNA, top 500","Icelus mororanis"
"1765","eDNA, top 500","Icelus sekii"
"1768","eDNA, top 500","Icelus toyamensis"
"1777","eDNA, top 500","Ichthyoelephas longirostris"
"1781","eDNA, top 500","Ictalurus lupus"
"1782","eDNA, top 500","Ictalurus pricei"
"1783","eDNA, top 500","Ictalurus sp. UM 105-1789"
"1787","eDNA, top 500","Idiastion pacificum"
"1790","eDNA, top 500","Ilisha africana"
"1791","eDNA, top 500","Ilisha elongata"
"1792","eDNA, top 500","Ilisha melastoma"
"1793","eDNA, top 500","Ilisha sirishae"
"1794","eDNA, top 500","Ilisha striatula"
"1798","eDNA, top 500","Iniistius auropunctatus"
"1799","eDNA, top 500","Iniistius celebicus"
"1800","eDNA, top 500","Iniistius dea"
"1801","eDNA, top 500","Iniistius evides"
"1802","eDNA, top 500","Iniistius melanopus"
"1804","eDNA, top 500","Iniistius pentadactylus"
"1805","eDNA, top 500","Iniistius trivittatus"
"1806","eDNA, top 500","Iniistius twistii"
"1808","eDNA, top 500","Iniistius verrens"
"1817","eDNA, top 500","Istigobius goldmanni"
"1819","eDNA, top 500","Istigobius ornatus"
"1820","eDNA, top 500","Istigobius sp. HYW-2001"
"1822","eDNA, top 500","Istiophorus albicans"
"1825","eDNA, top 500","Japonolaeops dentatus"
"1829","eDNA, top 500","Kajikia albida"
"1836","eDNA, top 500","Kasatkia memorabilis"
"1845","eDNA, top 500","Kryptopterus bicirrhis"
"1846","eDNA, top 500","Kryptopterus sp. MM-2017"
"1847","eDNA, top 500","Kryptopterus vitreolus"
"1852","eDNA, top 500","Kyonemichthys rumengani"
"1861","eDNA, top 500","Labeo coubie"
"1862","eDNA, top 500","Labeo sp. CBM-ZF-11756"
"1871","eDNA, top 500","Lachnolaimus maximus"
"1872","eDNA, top 500","Lactarius lactarius"
"1880","eDNA, top 500","Lagocephalus lunaris"
"1913","eDNA, top 500","Lateolabrax japonicus"
"1914","eDNA, top 500","Lateolabrax latus"
"1915","eDNA, top 500","Lates calcarifer"
"1916","eDNA, top 500","Latropiscis purpurissatus"
"1917","eDNA, top 500","Lavinia exilicauda"
"1918","eDNA, top 500","Lefua echigonia"
"1922","eDNA, top 500","Leocottus kesslerii"
"1923","eDNA, top 500","Lepidion eques"
"1924","eDNA, top 500","Lepidion inosimae"
"1925","eDNA, top 500","Lepidion lepidion"
"1926","eDNA, top 500","Lepidocephalichthys guntea"
"1929","eDNA, top 500","Lepidomeda copei"
"1930","eDNA, top 500","Lepidomeda vittata"
"1933","eDNA, top 500","Lepidopsetta mochigarei"
"1937","eDNA, top 500","Lepidotrigla abyssalis"
"1938","eDNA, top 500","Lepidotrigla alata"
"1939","eDNA, top 500","Lepidotrigla guentheri"
"1940","eDNA, top 500","Lepidotrigla hime"
"1941","eDNA, top 500","Lepidotrigla japonica"
"1942","eDNA, top 500","Lepidotrigla kanagashira"
"1943","eDNA, top 500","Lepidotrigla kishinouyi"
"1944","eDNA, top 500","Lepidotrigla longifaciata"
"1946","eDNA, top 500","Lepidotrigla sp. KAUM I 63057"
"1947","eDNA, top 500","Lepidotrigla sp. NMMBP 1282"
"1958","eDNA, top 500","Leptoderma lubricum"
"1959","eDNA, top 500","Leptoderma macrophthalmum"
"1960","eDNA, top 500","Leptoderma retropinna"
"1973","eDNA, top 500","Lesueurigobius friesii"
"1977","eDNA, top 500","Lethrinus genivittatus"
"1978","eDNA, top 500","Leucaspius delineatus"
"1979","eDNA, top 500","Leuciscus baicalensis"
"1980","eDNA, top 500","Leuciscus burdigalensis"
"1981","eDNA, top 500","Leuciscus idus"
"1982","eDNA, top 500","Leuciscus leuciscus"
"1983","eDNA, top 500","Leuciscus oxyrrhis"
"1984","eDNA, top 500","Leuciscus waleckii"
"1990","eDNA, top 500","Liachirus melanospilos"
"1993","eDNA, top 500","Limanda limanda"
"1998","eDNA, top 500","Limnothrissa miodon"
"1999","eDNA, top 500","Liniparhomaloptera disparis"
"2000","eDNA, top 500","Liniparhomaloptera qiongzhongensis"
