"","source","found_taxa"
"76","eDNA, top 500","Artediellus neyelovi"
"77","eDNA, top 500","Artediellus scaber"
"78","eDNA, top 500","Artediellus uncinatus"
"79","eDNA, top 500","Askoldia variegata"
"80","eDNA, top 500","Asprocottus pulcher"
"81","eDNA, top 500","Astrocottus matsubarae"
"82","eDNA, top 500","Astrocottus regulus"
"83","eDNA, top 500","Astronesthes indopacificus"
"84","eDNA, top 500","Astyanax altiparanae"
"85","eDNA, top 500","Astyanax bimaculatus"
"86","eDNA, top 500","Astyanax lacustris"
"87","eDNA, top 500","Atherinomorus regina"
"88","eDNA, top 500","Aulacocephalus temminckii"
"89","eDNA, top 500","Aurigequula fasciata"
"90","eDNA, top 500","Auxis rochei"
"91","eDNA, top 500","Auxis thazard"
"92","eDNA, top 500","Bagarius yarrelli"
"93","eDNA, top 500","Balistes capriscus"
"94","eDNA, top 500","Balistes punctatus"
"95","eDNA, top 500","Balistes vetula"
"96","eDNA, top 500","Balistoides viridescens"
"97","eDNA, top 500","Barbatula nuda"
"98","eDNA, top 500","Barbucca diabolica"
"99","eDNA, top 500","Bathygobius petrophilus"
"100","eDNA, top 500","Bathylagichthys greyae"
"101","eDNA, top 500","Bathymaster derjugini"
"102","eDNA, top 500","Bathytroctes breviceps"
"103","eDNA, top 500","Bathytroctes michaelsarsi"
"104","eDNA, top 500","Bathytroctes microlepis"
"105","eDNA, top 500","Batrachocottus baicalensis"
"106","eDNA, top 500","Batrachocottus multiradiatus"
"107","eDNA, top 500","Batrachocottus nikolskii"
"108","eDNA, top 500","Batrachocottus talievi"
"109","eDNA, top 500","Beaufortia kweichowensis"
"110","eDNA, top 500","Beaufortia pingi"
"111","eDNA, top 500","Bero elegans"
"112","eDNA, top 500","Beryx mollis"
"113","eDNA, top 500","Biwia zezera"
"114","eDNA, top 500","Bodianus axillaris"
"115","eDNA, top 500","Boleophthalmus pectinirostris"
"116","eDNA, top 500","Bothragonus occidentalis"
"117","eDNA, top 500","Bothrocara hollandi"
"118","eDNA, top 500","Bothrocara zestum"
"119","eDNA, top 500","Bothrocarina microcephala"
"120","eDNA, top 500","Bothrocarina nigrocaudata"
"121","eDNA, top 500","Botia almorhae"
"122","eDNA, top 500","Botia dario"
"123","eDNA, top 500","Botia histrionica"
"124","eDNA, top 500","Botia lohachata"
"125","eDNA, top 500","Botia rostrata"
"126","eDNA, top 500","Brachionichthys hirsutus"
"127","eDNA, top 500","Brachymystax lenok"
"128","eDNA, top 500","Brachymystax lenok tsinlingensis"
"129","eDNA, top 500","Brachymystax tumensis"
"130","eDNA, top 500","Brachyopsis segaliensis"
"131","eDNA, top 500","Brachypterois serrulifer"
"132","eDNA, top 500","Brevoortia gunteri"
"133","eDNA, top 500","Brevoortia patronus"
"134","eDNA, top 500","Brevoortia tyrannus"
"135","eDNA, top 500","Brosme brosme"
"136","eDNA, top 500","Bryaninops yongei"
"137","eDNA, top 500","Brycon henni"
"138","eDNA, top 500","Buglossidium luteum"
"139","eDNA, top 500","Butis humeralis"
"140","eDNA, top 500","Caffrogobius gilchristi"
"141","eDNA, top 500","Callogobius maculipinnis"
"142","eDNA, top 500","Callogobius sclateri"
"143","eDNA, top 500","Cantherhines macrocerus"
"144","eDNA, top 500","Careproctus cyclocephalus"
"145","eDNA, top 500","Caristius fasciatus"
"146","eDNA, top 500","Catostomus commersonii"
"147","eDNA, top 500","Centrarchus macropterus"
"148","eDNA, top 500","Centrophryne spinulosa"
"149","eDNA, top 500","Cephalopholis aurantia"
"150","eDNA, top 500","Cephalopholis boenak"
"151","eDNA, top 500","Cephalopholis cyanostigma"
"152","eDNA, top 500","Cephalopholis formosa"
"153","eDNA, top 500","Cephalopholis igarashiensis"
"154","eDNA, top 500","Cephalopholis microprion"
"155","eDNA, top 500","Cephalopholis oligosticta"
"156","eDNA, top 500","Cephalopholis polleni"
"157","eDNA, top 500","Cephalopholis sexmaculata"
"158","eDNA, top 500","Cephalopholis sonnerati"
"159","eDNA, top 500","Cephalopholis spiloparaea"
"160","eDNA, top 500","Chaenogobius annularis"
"161","eDNA, top 500","Chelidonichthys cuculus"
"162","eDNA, top 500","Chelidonichthys kumu"
"163","eDNA, top 500","Chelidonichthys lastoviza"
"164","eDNA, top 500","Chelidonichthys lucerna"
"165","eDNA, top 500","Chelidonichthys spinosus"
"166","eDNA, top 500","Chiasmodon harteli"
"167","eDNA, top 500","Chimaera fulva"
"168","eDNA, top 500","Chimaera monstrosa"
"169","eDNA, top 500","Chimaera ogilbyi"
"170","eDNA, top 500","Chimaera opalescens"
"171","eDNA, top 500","Chimaera phantasma"
"172","eDNA, top 500","Chirolophis ascanii"
"173","eDNA, top 500","Chirolophis japonicus"
"174","eDNA, top 500","Chirolophis saitone"
"175","eDNA, top 500","Chirolophis wui"
"176","eDNA, top 500","Chitala chitala"
"177","eDNA, top 500","Chrosomus eos"
"178","eDNA, top 500","Chrosomus erythrogaster"
"179","eDNA, top 500","Chrosomus neogaeus"
"180","eDNA, top 500","Chrosomus oreas"
"181","eDNA, top 500","Chrosomus tennesseensis"
"182","eDNA, top 500","Chrysiptera galba"
"183","eDNA, top 500","Chrysiptera rapanui"
"184","eDNA, top 500","Chrysiptera starcki"
"185","eDNA, top 500","Cichlasoma sanctifranciscense"
"186","eDNA, top 500","Clarias batrachus"
"187","eDNA, top 500","Clarias camerunensis"
"188","eDNA, top 500","Clarias fuscus"
"189","eDNA, top 500","Clarias gabonensis"
"190","eDNA, top 500","Clarias gariepinus"
"191","eDNA, top 500","Clarias macrocephalus"
"192","eDNA, top 500","Cleisthenes herzensteini"
"193","eDNA, top 500","Cleisthenes pinetorum"
"194","eDNA, top 500","Clinostomus elongatus"
"195","eDNA, top 500","Clinostomus funduloides"
"196","eDNA, top 500","Clupanodon thrissa"
"197","eDNA, top 500","Clupeichthys aesarnensis"
"198","eDNA, top 500","Clupeonella cultriventris"
"199","eDNA, top 500","Coelorinchus japonicus"
"200","eDNA, top 500","Coilia brachygnathus"
"201","eDNA, top 500","Coilia grayii"
"202","eDNA, top 500","Coilia lindmani"
"203","eDNA, top 500","Coilia mystus"
"204","eDNA, top 500","Coilia nasus"
"205","eDNA, top 500","Coilia reynaldi"
"206","eDNA, top 500","Colossoma macropomum"
"207","eDNA, top 500","Comephorus baikalensis"
"208","eDNA, top 500","Comephorus dybowskii"
"209","eDNA, top 500","Conocara kreffti"
"210","eDNA, top 500","Conocara macropterum"
"211","eDNA, top 500","Conocara murrayi"
"212","eDNA, top 500","Conocara nigrum"
"213","eDNA, top 500","Copella arnoldi"
"214","eDNA, top 500","Coptodon zillii"
"215","eDNA, top 500","Coregonus artedi"
"216","eDNA, top 500","Coregonus baicalensis"
"217","eDNA, top 500","Coregonus chadary"
"218","eDNA, top 500","Coregonus hoyi"
"219","eDNA, top 500","Coregonus migratorius"
"220","eDNA, top 500","Coregonus zenithicus"
"221","eDNA, top 500","Coreobagrus brevicorpus"
"222","eDNA, top 500","Coreobagrus ichikawai"
"223","eDNA, top 500","Coreoleuciscus aeruginos"
"224","eDNA, top 500","Coreoleuciscus splendidus"
"225","eDNA, top 500","Cottiusculus gonez"
"226","eDNA, top 500","Cottiusculus nihonkaiensis"
"227","eDNA, top 500","Cottiusculus schmidti"
"228","eDNA, top 500","Cottocomephorus grewingki"
"229","eDNA, top 500","Cottocomephorus inermis"
"230","eDNA, top 500","Cottunculus microps"
"231","eDNA, top 500","Cottunculus thomsonii"
"232","eDNA, top 500","Cottus amblystomopsis"
"233","eDNA, top 500","Cottus bairdii"
"234","eDNA, top 500","Cottus beldingii"
"235","eDNA, top 500","Cottus bendirei"
"236","eDNA, top 500","Cottus carolinae"
"237","eDNA, top 500","Cottus cognatus"
"238","eDNA, top 500","Cottus confusus"
"239","eDNA, top 500","Cottus czerskii"
"240","eDNA, top 500","Cottus dzungaricus"
"241","eDNA, top 500","Cottus gobio"
"242","eDNA, top 500","Cottus gulosus"
"243","eDNA, top 500","Cottus hangiongensis"
"244","eDNA, top 500","Cottus klamathensis"
"245","eDNA, top 500","Cottus klamathensis polyporus"
"246","eDNA, top 500","Cottus koreanus"
"247","eDNA, top 500","Cottus marginatus"
"248","eDNA, top 500","Cottus nozawae"
"249","eDNA, top 500","Cottus perifretum"
"250","eDNA, top 500","Cottus perplexus"
"251","eDNA, top 500","Cottus pitensis"
"252","eDNA, top 500","Cottus poecilopus"
"253","eDNA, top 500","Cottus pollux"
"254","eDNA, top 500","Cottus princeps"
"255","eDNA, top 500","Cottus reinii"
"256","eDNA, top 500","Cottus rhenanus"
"257","eDNA, top 500","Cottus rhotheus"
"258","eDNA, top 500","Cottus ricei"
"259","eDNA, top 500","Cottus szanaga"
"260","eDNA, top 500","Cottus tenuis"
"261","eDNA, top 500","Cottus volki"
"262","eDNA, top 500","Couesius plumbeus"
"263","eDNA, top 500","Cryptacanthodes bergi"
"264","eDNA, top 500","Cryptocentroides insignis"
"265","eDNA, top 500","Cryptocentrus nigrocellatus"
"266","eDNA, top 500","Crystallaria asprella"
"267","eDNA, top 500","Ctenopoma acutirostre"
"268","eDNA, top 500","Cyclopteropsis bergi"
"269","eDNA, top 500","Cyclopteropsis lindbergi"
"270","eDNA, top 500","Cyclopterus lumpus"
"271","eDNA, top 500","Cyphocharax gilbert"
"272","eDNA, top 500","Cyprinella leedsi"
"273","eDNA, top 500","Cyprinella monacha"
"274","eDNA, top 500","Dario dayingensis"
"275","eDNA, top 500","Davidijordania poecilimon"
"276","eDNA, top 500","Decodon pacificus"
"277","eDNA, top 500","Delturus carinotus"
"278","eDNA, top 500","Dendrochirus biocellatus"
"279","eDNA, top 500","Dendrochirus brachypterus"
"280","eDNA, top 500","Dendrochirus zebra"
"281","eDNA, top 500","Deveximentum megalolepis"
"282","eDNA, top 500","Dexistes rikuzenius"
"283","eDNA, top 500","Dictyosoma burgeri"
"284","eDNA, top 500","Dictyosoma rubrimaculatum"
"285","eDNA, top 500","Dionda diaboli"
"286","eDNA, top 500","Dionda episcopa"
"287","eDNA, top 500","Diplomystes nahuelbutaensis"
"288","eDNA, top 500","Diretmoides veriginae"
"289","eDNA, top 500","Diretmus argenteus"
"290","eDNA, top 500","Ditrema jordani"
"291","eDNA, top 500","Ditrema temminckii"
"292","eDNA, top 500","Ditrema temminckii pacificum"
"293","eDNA, top 500","Ditrema temminckii temminckii"
"294","eDNA, top 500","Ditrema viride"
"295","eDNA, top 500","Doboatherina aetholepis"
"296","eDNA, top 500","Dorosoma petenense"
"297","eDNA, top 500","Drepane africana"
"298","eDNA, top 500","Drepane longimana"
"299","eDNA, top 500","Drepane punctata"
"300","eDNA, top 500","Ebinania brephocephala"
"301","eDNA, top 500","Ebinania vermiculata"
"302","eDNA, top 500","Elachocharax pulcher"
"303","eDNA, top 500","Eleutheronema rhadinum"
"304","eDNA, top 500","Eleutheronema tetradactylum"
"305","eDNA, top 500","Engyprosopon macrolepis"
"306","eDNA, top 500","Eopsetta grigorjewi"
"307","eDNA, top 500","Epigonus pectinifer"
"308","eDNA, top 500","Epinephelus fuscoguttatus"
"309","eDNA, top 500","Epinephelus latifasciatus"
"310","eDNA, top 500","Epinephelus poecilonotus"
"311","eDNA, top 500","Epinephelus radiatus"
"312","eDNA, top 500","Equulites elongatus"
"313","eDNA, top 500","Eremichthys acros"
"314","eDNA, top 500","Ereunias grallator"
"315","eDNA, top 500","Erimystax dissimilis"
"316","eDNA, top 500","Erimystax x-punctatus"
"317","eDNA, top 500","Erimyzon oblongus"
"318","eDNA, top 500","Ernogrammus hexagrammus"
"319","eDNA, top 500","Erromyzon kalotaenia"
"320","eDNA, top 500","Erromyzon sinensis"
"321","eDNA, top 500","Etheostoma blennioides"
"322","eDNA, top 500","Etheostoma burri"
"323","eDNA, top 500","Etheostoma fonticola"
"324","eDNA, top 500","Etheostoma nigripinne"
"325","eDNA, top 500","Etheostoma nigrum"
"326","eDNA, top 500","Etheostoma osburni"
"327","eDNA, top 500","Etheostoma proeliare"
"328","eDNA, top 500","Etheostoma punctulatum"
"329","eDNA, top 500","Etheostoma sagitta"
"330","eDNA, top 500","Etheostoma spectabile"
"331","eDNA, top 500","Ethmalosa fimbriata"
"332","eDNA, top 500","Ethmidium maculatum"
"333","eDNA, top 500","Etropus microstomus"
"334","eDNA, top 500","Etrumeus micropus"
"335","eDNA, top 500","Etrumeus sadina"
"336","eDNA, top 500","Eumicrotremus awae"
"337","eDNA, top 500","Eumicrotremus derjugini"
"338","eDNA, top 500","Eumicrotremus pacificus"
"339","eDNA, top 500","Eumicrotremus spinosus"
"340","eDNA, top 500","Eurypleuron owasianum"
"341","eDNA, top 500","Eutaeniichthys gilli"
"342","eDNA, top 500","Euthynnus alletteratus"
"343","eDNA, top 500","Eutrigla gurnardus"
"344","eDNA, top 500","Eviota abax"
"345","eDNA, top 500","Eviota kermadecensis"
"346","eDNA, top 500","Exoglossum maxillingua"
"347","eDNA, top 500","Exostoma labiatum"
"348","eDNA, top 500","Exostoma tenuicaudatum"
"349","eDNA, top 500","Favonigobius gymnauchen"
"350","eDNA, top 500","Favonigobius melanobranchus"
"351","eDNA, top 500","Freemanichthys thompsoni"
"352","eDNA, top 500","Furcina osimae"
"353","eDNA, top 500","Gadiculus argenteus"
"354","eDNA, top 500","Gadiculus thori"
"355","eDNA, top 500","Gadus morhua"
"356","eDNA, top 500","Gadus ogac"
"357","eDNA, top 500","Gagata dolichonema"
"358","eDNA, top 500","Galaxias tantangara"
"359","eDNA, top 500","Gargariscus prionocephalus"
"360","eDNA, top 500","Gasterochisma melampus"
"361","eDNA, top 500","Gastromyzon scitulus"
"362","eDNA, top 500","Gastromyzon zebrinus"
"363","eDNA, top 500","Geophagus brasiliensis"
"364","eDNA, top 500","Gephyroberyx japonicus"
"365","eDNA, top 500","Gila atraria"
"366","eDNA, top 500","Gila coerulea"
"367","eDNA, top 500","Gila conspersa"
"368","eDNA, top 500","Gila cypha"
"369","eDNA, top 500","Gila ditaenia"
"370","eDNA, top 500","Gila elegans"
"371","eDNA, top 500","Gila nigra"
"372","eDNA, top 500","Gila nigrescens"
"373","eDNA, top 500","Gila orcuttii"
"374","eDNA, top 500","Gila pandora"
"375","eDNA, top 500","Gila robusta"
"376","eDNA, top 500","Gilbertidia pustulosa"
"377","eDNA, top 500","Gilchristella aestuaria"
"378","eDNA, top 500","Glossanodon kotakamaru"
"379","eDNA, top 500","Glossogobius aureus"
"380","eDNA, top 500","Glossogobius flavipinnis"
"381","eDNA, top 500","Glossogobius giuris"
"382","eDNA, top 500","Glyptocephalus cynoglossus"
"383","eDNA, top 500","Glyptocephalus kitaharae"
"384","eDNA, top 500","Glyptocephalus stelleri"
"385","eDNA, top 500","Glyptothorax annandalei"
"386","eDNA, top 500","Glyptothorax cavia"
"387","eDNA, top 500","Glyptothorax deqinensis"
"388","eDNA, top 500","Glyptothorax granosus"
"389","eDNA, top 500","Glyptothorax lanceatus"
"390","eDNA, top 500","Glyptothorax laosensis"
"391","eDNA, top 500","Glyptothorax minimaculatus"
"392","eDNA, top 500","Glyptothorax sinensis"
"393","eDNA, top 500","Glyptothorax telchitta"
"394","eDNA, top 500","Glyptothorax trilineatus"
"395","eDNA, top 500","Glyptothorax zanaensis"
"396","eDNA, top 500","Gnathocharax steindachneri"
"397","eDNA, top 500","Gnathopogon caerulescens"
"398","eDNA, top 500","Gnathopogon elongatus"
"399","eDNA, top 500","Gnathopogon herzensteini"
"400","eDNA, top 500","Gnathopogon mantschuricus"
"401","eDNA, top 500","Gnathopogon polytaenia"
"402","eDNA, top 500","Gnathopogon strigatus"
"403","eDNA, top 500","Gobio acutipinnatus"
"404","eDNA, top 500","Gobio huanghensis"
"405","eDNA, top 500","Grammistops ocellatus"
"406","eDNA, top 500","Gudusia chapra"
"407","eDNA, top 500","Gymnelus andersoni"
"408","eDNA, top 500","Gymnelus retrodorsalis"
"409","eDNA, top 500","Gymnelus taeniatus"
"410","eDNA, top 500","Gymnocanthus detrisus"
"411","eDNA, top 500","Gymnocanthus herzensteini"
"412","eDNA, top 500","Gymnocanthus intermedius"
"413","eDNA, top 500","Gymnocanthus tricuspis"
"414","eDNA, top 500","Gymnoclinus cristulatus"
"415","eDNA, top 500","Gymnogobius macrognathos"
"416","eDNA, top 500","Gymnosarda unicolor"
"417","eDNA, top 500","Gyrinocheilus aymonieri"
"418","eDNA, top 500","Hadropogonichthys leptopus"
"419","eDNA, top 500","Hapalogenys kishinouyei"
"420","eDNA, top 500","Harengula jaguana"
"421","eDNA, top 500","Helicolenus avius"
"422","eDNA, top 500","Helicolenus dactylopterus"
"423","eDNA, top 500","Helicolenus hilgendorfi"
"424","eDNA, top 500","Hemibarbus labeo"
"425","eDNA, top 500","Hemibarbus medius"
"426","eDNA, top 500","Hemibarbus umbrifer"
"427","eDNA, top 500","Hemilepidotus gilberti"
"428","eDNA, top 500","Hemiodus unimaculatus"
"429","eDNA, top 500","Hemitripterus americanus"
"430","eDNA, top 500","Herichthys carpintis"
"431","eDNA, top 500","Herichthys cyanoguttatus"
"432","eDNA, top 500","Herwigia kreffti"
"433","eDNA, top 500","Hesperoleucus symmetricus"
"434","eDNA, top 500","Heteropneustes fossilis"
"435","eDNA, top 500","Heterotilapia buettikoferi"
"436","eDNA, top 500","Hexagrammos agrammus"
"437","eDNA, top 500","Hexagrammos otakii"
"438","eDNA, top 500","Hilsa kelee"
"439","eDNA, top 500","Hippoglossina oblonga"
"440","eDNA, top 500","Hippoglossoides dubius"
"441","eDNA, top 500","Hippoglossoides platessoides"
"442","eDNA, top 500","Hippoglossus hippoglossus"
"443","eDNA, top 500","Hoplerythrinus unitaeniatus"
"444","eDNA, top 500","Hoplias intermedius"
"445","eDNA, top 500","Hoplias malabaricus"
"446","eDNA, top 500","Howella brodiei"
"447","eDNA, top 500","Hozukius emblemarius"
"448","eDNA, top 500","Hucho bleekeri"
"449","eDNA, top 500","Hucho hucho"
"450","eDNA, top 500","Hucho taimen"
"451","eDNA, top 500","Hybopsis lineapunctata"
"452","eDNA, top 500","Hydrolagus affinis"
"453","eDNA, top 500","Hydrolagus barbouri"
"454","eDNA, top 500","Hydrolagus mitsukurii"
"455","eDNA, top 500","Hypentelium nigricans"
"456","eDNA, top 500","Hyperlophus vittatus"
"457","eDNA, top 500","Hypoatherina gobio"
"458","eDNA, top 500","Hypoatherina golanii"
"459","eDNA, top 500","Hypoatherina temminckii"
"460","eDNA, top 500","Hypomasticus mormyrops"
"461","eDNA, top 500","Hypomasticus steindachneri"
"462","eDNA, top 500","Hypomasticus thayeri"
"463","eDNA, top 500","Hypomesus japonicus"
"464","eDNA, top 500","Hypoptychus dybowskii"
"465","eDNA, top 500","Hypsagonus corniger"
"466","eDNA, top 500","Hypsophrys nicaraguensis"
"467","eDNA, top 500","Icelinus pietschi"
"468","eDNA, top 500","Icelus bicornis"
"469","eDNA, top 500","Icelus cataphractus"
"470","eDNA, top 500","Icelus mororanis"
"471","eDNA, top 500","Icelus sekii"
"472","eDNA, top 500","Icelus toyamensis"
"473","eDNA, top 500","Ichthyoelephas longirostris"
"474","eDNA, top 500","Ictalurus lupus"
"475","eDNA, top 500","Ictalurus pricei"
"476","eDNA, top 500","Idiastion pacificum"
"477","eDNA, top 500","Ilisha africana"
"478","eDNA, top 500","Ilisha elongata"
"479","eDNA, top 500","Ilisha melastoma"
"480","eDNA, top 500","Ilisha sirishae"
"481","eDNA, top 500","Ilisha striatula"
"482","eDNA, top 500","Iniistius auropunctatus"
"483","eDNA, top 500","Iniistius celebicus"
"484","eDNA, top 500","Iniistius dea"
"485","eDNA, top 500","Iniistius evides"
"486","eDNA, top 500","Iniistius melanopus"
"487","eDNA, top 500","Iniistius pentadactylus"
"488","eDNA, top 500","Iniistius trivittatus"
"489","eDNA, top 500","Iniistius twistii"
"490","eDNA, top 500","Iniistius verrens"
"491","eDNA, top 500","Istigobius goldmanni"
"492","eDNA, top 500","Istigobius ornatus"
"493","eDNA, top 500","Istiophorus albicans"
"494","eDNA, top 500","Japonolaeops dentatus"
"495","eDNA, top 500","Kajikia albida"
"496","eDNA, top 500","Kasatkia memorabilis"
"497","eDNA, top 500","Konosirus punctatus"
"498","eDNA, top 500","Kryptopterus bicirrhis"
"499","eDNA, top 500","Kryptopterus vitreolus"
"500","eDNA, top 500","Kyonemichthys rumengani"
"501","eDNA, top 500","Labeo coubie"
"502","eDNA, top 500","Lachnolaimus maximus"
"503","eDNA, top 500","Lactarius lactarius"
"504","eDNA, top 500","Lagocephalus lunaris"
"505","eDNA, top 500","Lateolabrax japonicus"
"506","eDNA, top 500","Lateolabrax latus"
"507","eDNA, top 500","Lateolabrax maculatus"
"508","eDNA, top 500","Lates calcarifer"
"509","eDNA, top 500","Latropiscis purpurissatus"
"510","eDNA, top 500","Lavinia exilicauda"
"511","eDNA, top 500","Lefua echigonia"
"512","eDNA, top 500","Leocottus kesslerii"
"513","eDNA, top 500","Lepidion eques"
"514","eDNA, top 500","Lepidion inosimae"
"515","eDNA, top 500","Lepidion lepidion"
"516","eDNA, top 500","Lepidocephalichthys guntea"
"517","eDNA, top 500","Lepidomeda copei"
"518","eDNA, top 500","Lepidomeda vittata"
"519","eDNA, top 500","Lepidopsetta mochigarei"
"520","eDNA, top 500","Lepidotrigla abyssalis"
"521","eDNA, top 500","Lepidotrigla alata"
"522","eDNA, top 500","Lepidotrigla guentheri"
"523","eDNA, top 500","Lepidotrigla hime"
"524","eDNA, top 500","Lepidotrigla japonica"
"525","eDNA, top 500","Lepidotrigla kanagashira"
"526","eDNA, top 500","Lepidotrigla kishinouyi"
"527","eDNA, top 500","Lepidotrigla longifaciata"
"528","eDNA, top 500","Lepidotrigla microptera"
"529","eDNA, top 500","Leptagonus decagonus"
"530","eDNA, top 500","Leptoderma lubricum"
"531","eDNA, top 500","Leptoderma macrophthalmum"
"532","eDNA, top 500","Leptoderma retropinna"
"533","eDNA, top 500","Leptostomias multifilis"
"534","eDNA, top 500","Lesueurigobius friesii"
"535","eDNA, top 500","Lethrinus genivittatus"
"536","eDNA, top 500","Leucaspius delineatus"
"537","eDNA, top 500","Leuciscus baicalensis"
"538","eDNA, top 500","Leuciscus burdigalensis"
"539","eDNA, top 500","Leuciscus idus"
"540","eDNA, top 500","Leuciscus leuciscus"
"541","eDNA, top 500","Leuciscus oxyrrhis"
"542","eDNA, top 500","Leuciscus waleckii"
"543","eDNA, top 500","Leuciscus waleckii waleckii"
"544","eDNA, top 500","Liachirus melanospilos"
"545","eDNA, top 500","Limanda limanda"
"546","eDNA, top 500","Limanda sakhalinensis"
"547","eDNA, top 500","Limnothrissa miodon"
"548","eDNA, top 500","Liniparhomaloptera disparis"
"549","eDNA, top 500","Liniparhomaloptera qiongzhongensis"
"550","eDNA, top 500","Liopropoma erythraeum"
"551","eDNA, top 500","Lioscorpius longiceps"
"552","eDNA, top 500","Lophiogobius ocellicauda"
"553","eDNA, top 500","Lumpenus lampretaeformis"
"554","eDNA, top 500","Lutjanus timoriensis"
"555","eDNA, top 500","Lycenchelys albomaculata"
"556","eDNA, top 500","Lycenchelys aurantiaca"
"557","eDNA, top 500","Lycenchelys hippopotamus"
"558","eDNA, top 500","Lycenchelys kolthoffi"
"559","eDNA, top 500","Lycenchelys melanostomias"
"560","eDNA, top 500","Lycenchelys muraena"
"561","eDNA, top 500","Lycenchelys paxillus"
"562","eDNA, top 500","Lycenchelys rassi"
"563","eDNA, top 500","Lycenchelys remissaria"
"564","eDNA, top 500","Lycenchelys sarsii"
"565","eDNA, top 500","Lycenchelys squamosa"
"566","eDNA, top 500","Lycenchelys tohokuensis"
"567","eDNA, top 500","Lycengraulis grossidens"
"568","eDNA, top 500","Lycodapus microchir"
"569","eDNA, top 500","Lycodes adolfi"
"570","eDNA, top 500","Lycodes caudimaculatus"
"571","eDNA, top 500","Lycodes esmarkii"
"572","eDNA, top 500","Lycodes eudipleurostictus"
"573","eDNA, top 500","Lycodes fasciatus"
"574","eDNA, top 500","Lycodes hubbsi"
"575","eDNA, top 500","Lycodes japonicus"
"576","eDNA, top 500","Lycodes lavalaei"
"577","eDNA, top 500","Lycodes luetkenii"
"578","eDNA, top 500","Lycodes matsubarai"
