subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num,class_count,extra_organism
LM652206,1295078,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,protist,1,393,n
NC_025314,1577725,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra weissflogii,1,151,n
NC_014808,637379,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira oceanica,1,151,n
LN735461,1606827,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira fallax,1,151,n
LN735460,83372,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,1,151,n
LN735442,2843,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum,1,151,n
KP016407,220496,Bacteria,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,unknown genus,Syntrophobacteraceae,1,5,n
OW835126,175245,Fungi,unknown phylum,unknown class,unknown order,unknown family,unknown genus,fungus,1,393,n
MT902152,265564,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,1,151,n
NC_058878,291031,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira tenera,1,151,n
NC_058875,376140,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira profunda,1,151,n
NC_058705,371681,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema grevillei,1,151,n
NC_058702,267982,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,1,151,n
NC_058701,267567,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoi,1,151,n
JN207214,243198,Eukaryota,Foraminifera,unknown class,Rotaliida,unknown family,Virgulinella,Virgulinella fragilis,1,393,n
KC425548,415540,unknown kingdom,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine microorganism,1,393,n
KC002407,13136,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine bacterioplankton,1,393,n
JQ974816,1006557,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema,1,151,n
HQ124102,544549,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine phototrophic eukaryote,1,393,n
GU119885,155900,unknown kingdom,unknown phylum,unknown class,unknown order,unknown family,unknown genus,organism,1,393,n
GU074249,686326,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,unknown genus,Skeletonemataceae,1,151,n
FJ002211,420259,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira gravida,1,151,n
FJ002198,265599,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Hyalodiscaceae,Hyalodiscus,Hyalodiscus,1,151,n
FJ002194,83371,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Detonula,Detonula confervacea,1,151,n
FJ002182,216763,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema subsalsum,1,151,n
FJ002172,265575,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Hyalodiscaceae,Podosira,Podosira stelligera,1,151,n
EU346576,491542,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine sponge,1,393,n
AJ536458,49261,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira eccentrica,1,151,n
NC_038005,259834,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Discostella,Discostella pseudostelligera,1,151,n
KT956303,1164988,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unknown genus,Minidiscus,1,151,n
NC_025312,1403802,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Roundia,Roundia cardiophora,1,151,n
LN735294,1606594,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella,1,151,n
NC_067956,2593073,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus spinulatus,1,151,n
MG637642,198431,unknown kingdom,unknown phylum,unknown class,unknown order,unknown family,unknown genus,prokaryote,1,393,n
NC_058792,1429247,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos,1,151,n
NC_007405,35128,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,1,151,n
NC_054334,444606,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia zodiacus,1,54,n
NC_063458,1003062,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,Hemiaulus sinensis,1,54,n
NC_059933,265543,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,1,54,n
MW417227,265543,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,2,54,n
MW849271,2914905,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmioides,Lithodesmioides mgcode,1,54,n
KX889125,1115533,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Didymosphenia,Didymosphenia geminata,1,128,n
NC_063454,265563,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella aurita,1,54,n
MW849264,265563,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella aurita,2,54,n
GQ850545,91750,Bacteria,Pseudomonadota,Alphaproteobacteria,unknown order,unknown family,unknown genus,Alphaproteobacteria,1,272,n
NC_037987,1458866,Eukaryota,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Eunotia,Eunotia naegelii,1,128,n
NC_056903,59812,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium undulatum,1,54,n
AF277548,131466,Bacteria,Pseudomonadota,Alphaproteobacteria,unknown order,unknown family,unknown genus,alpha proteobacterium,1,272,n
LC537470,426638,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,1,151,n
NC_063455,374047,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Helicotheca,Helicotheca tamesis,1,54,n
MW413903,515487,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris,1,151,n
NC_067847,97227,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema parvulum,1,128,n
NC_063456,303402,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia dissipata,1,128,n
HM485069,360281,unknown kingdom,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine organism,1,393,n
NC_037988,210620,Eukaryota,Bacillariophyta,Mediophyceae,Toxariales,Toxariaceae,Toxarium,Toxarium undulatum,1,54,n
MG271847,210620,Eukaryota,Bacillariophyta,Mediophyceae,Toxariales,Toxariaceae,Toxarium,Toxarium undulatum,2,54,n
MW971521,303405,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia inconspicua,1,128,n
FJ002231,265540,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus trioculatus,1,151,n
L10941,28248,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine eubacterium,1,393,n
JF488474,1010341,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gamma proteobacterium,1,653,n
HQ163243,86473,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Gammaproteobacteria,1,653,n
AY386343,247643,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,marine gamma proteobacterium,1,653,n
HQ191011,676241,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,sediment,1,393,n
DQ917876,114707,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas,1,653,n
JX527517,1128416,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,OM clade,1,653,n
MZ263098,1979412,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Pseudohongiella,Pseudohongiella,1,653,n
KP989300,293335,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,unknown family,unknown genus,Oceanospirillales,1,653,n
KU370719,153809,Bacteria,Pseudomonadota,unknown class,unknown order,unknown family,unknown genus,proteobacterium,1,393,n
GQ347272,120965,Bacteria,Planctomycetota,unknown class,unknown order,unknown family,unknown genus,Planctomycetota,1,393,n
EU837027,219049,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Arctic sea ice,1,393,n
AF159675,100084,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,marine eubacterium Hstp,1,653,n
FQ659362,164851,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,soil,1,393,n
AF154089,96969,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,hydrocarbon seep,1,653,n
MT565488,114715,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia,1,412,n
MN122283,305,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,1,412,n
MK968569,190721,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia insidiosa,1,412,n
MH256541,1310165,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pseudosolanacearum,1,412,n
LR216571,86027,Bacteria,Pseudomonadota,Betaproteobacteria,unknown order,unknown family,unknown genus,beta proteobacterium,1,412,n
MK356426,1310167,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii subindonesiensis,1,412,n
MG809574,283740,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,anaerobic,1,393,n
CP019911,1944648,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,blood disease,1,412,n
KT933225,329,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,1,412,n
KC188268,28097,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii,1,412,n
KC820940,1310168,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii subcelebesensis,1,412,n
KC757040,1310166,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii subsyzygii,1,412,n
JX966195,208544,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,unknown family,unknown genus,Burkholderiales,1,412,n
JF717698,188056,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,unknown genus,Burkholderiaceae,1,412,n
FR690743,157277,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium,1,272,n
NC_025310,156587,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros simplex,1,151,n
FJ002159,49252,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia antarctica,1,54,n
MH011759,49240,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros,1,151,n
NC_025313,1527800,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,Cerataulina daemon,1,54,n
KJ958484,1527800,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,Cerataulina daemon,2,54,n
GU170717,751952,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium,1,126,n
LN735309,1606695,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon,1,128,n
MW845780,230516,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros curvisetus,1,151,n
MW845779,1937691,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros laevisporus,1,151,n
MW845777,426637,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros pseudocurvisetus,1,151,n
NC_057645,444606,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia zodiacus,2,54,n
KY498708,109231,Eukaryota,Foraminifera,unknown class,Rotaliida,Glabratellidae,Glabratella,Glabratella patelliformis,1,393,n
NC_014267,160619,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium,Kryptoperidinium foliaceum,1,7,n
LN735426,1606613,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula,1,128,n
LN735292,265524,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros calcitrans,1,151,n
LN735283,426632,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros diadema,1,151,n
NC_065388,515482,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia dubiiformis,1,128,n
KM218905,1563515,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Peridiniaceae,unknown genus,Peridiniaceae,1,7,n
NC_063631,1497510,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros gelidus,1,151,n
NC_061048,515483,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon constrictum,1,128,n
NC_061046,908985,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia ovalis,1,128,n
MT742551,2862141,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia anatoliensis,1,128,n
MW845774,265525,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros muellerii,1,151,n
MZ352931,184592,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros gracilis,1,151,n
KF177801,1400982,Eukaryota,Bacillariophyta,unknown class,unknown order,unknown family,unknown genus,Bacillariophyta,1,393,n
NC_056787,303403,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia supralitorea,1,128,n
GU591328,160619,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium,Kryptoperidinium foliaceum,2,7,n
FJ002230,265572,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Extubocellulus,Extubocellulus spinifer,1,54,n
FJ002190,555749,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis,Stauroneis simulans,1,128,n
FJ002187,420286,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Extubocellulus,Extubocellulus cribriger,1,54,n
FJ002175,420299,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Extubocellulus,cf Extubocellulus cribriger,1,54,n
FJ002166,426671,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Bacteriastrum,Bacteriastrum hyalinum,1,151,n
FJ002157,265581,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon panduriforme,1,128,n
AM501723,308759,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,unknown family,unknown genus,Deferribacterales,1,7,n
AJ536456,49246,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Cymatosira,Cymatosira belgica,1,54,n
FJ002195,444606,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,Eucampia zodiacus,3,54,n
AJ248310,99874,Eukaryota,Bacillariophyta,unknown class,unknown order,unknown family,unknown genus,diatom plastid,1,393,n
MT452276,2735273,Bacteria,Cyanobacteriota,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina major,1,126,n
CP023860,2508687,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Thioglobus,Candidatus Thioglobus,1,653,n
KX371524,195044,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,unknown genus,Oceanospirillaceae,1,653,n
CP006911,1125411,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Pseudothioglobus,Candidatus Pseudothioglobus singularis,1,653,n
MW961638,293339,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,unknown family,unknown genus,Thiotrichales,1,653,n
CP081940,2546201,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,unknown family,unknown genus,Methylophilales,1,412,n
JN591904,239732,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,unknown genus,Methylophilaceae,1,412,n
NC_058786,2023136,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia simulans,1,128,n
NC_058785,237455,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia cuspidata,1,128,n
NC_058781,186175,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia micropora,1,128,n
NC_058780,44447,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia delicatissima,1,128,n
FJ002177,186176,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia seriata,1,128,n
LN735400,1606687,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia,1,128,n
NC_058782,44446,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia americana,1,128,n
LR812620,186038,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,1,128,n
NC_044491,2600302,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea nusantara,1,128,n
KP792478,109238,Eukaryota,Foraminifera,unknown class,Rotaliida,Glabratellidae,Planoglabratella,Planoglabratella opercularis,1,393,n
KX365971,152704,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,stramenopile,1,393,n
NC_001713,1514140,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Parodontellaceae,Trieres,Trieres chinensis,1,54,n
ON548139,67476,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea ostrearia,1,128,n
NC_067955,1335017,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella regia,1,54,n
OK729593,1146996,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea karadagensis,1,128,n
NC_067582,1764367,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea provincialis,1,128,n
NC_058784,183589,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia multistriata,1,128,n
NC_058783,37318,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia pungens,1,128,n
MW645084,1146997,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea silbo,1,128,n
JX839843,654885,Eukaryota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora,1,128,n
FJ002224,265528,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia thermalis,1,128,n
FJ002234,420283,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,Synedra fragilaroides,1,37,n
EU580506,426639,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma tenuis,1,37,n
EU580504,426639,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma tenuis,2,37,n
EU580500,426639,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma,Diatoma tenuis,3,37,n
FJ002171,49246,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Cymatosira,Cymatosira belgica,2,54,n
FJ002164,555827,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea,1,128,n
Z67753,1514140,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Parodontellaceae,Trieres,Trieres chinensis,2,54,n
AJ536457,1514140,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Parodontellaceae,Trieres,Trieres chinensis,3,54,n
NC_037997,1234821,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Plagiogrammopsis,Plagiogrammopsis vanheurckii,1,54,n
NC_038002,2749911,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Pseudictyota,Pseudictyota dubia,1,54,n
NC_038001,186043,Eukaryota,Bacillariophyta,Bacillariophyceae,unknown order,Entomoneidaceae,Entomoneis,Entomoneis,1,128,n
MG755794,1234821,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Plagiogrammopsis,Plagiogrammopsis vanheurckii,2,54,n
KR709240,37319,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia multiseries,1,128,n
LN735391,1606622,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella,1,54,n
LN735280,33640,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,1,37,n
OL855994,1334967,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella aurita,3,54,n
MW853965,2775602,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia hainanensis,1,128,n
KX602053,293400,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,unknown family,unknown genus,Rhodobacterales,1,272,n
NR_146351,1651968,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amylibacter,Amylibacter ulvae,1,272,n
OP672406,1872504,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amylibacter,Amylibacter,1,272,n
JX530514,114847,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter,1,272,n
