verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Sebastes caurinus,Sebastes caurinus,accepted,Sebastes caurinus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274780,274780,33903,72063,Northern California
Microstomus pacificus,Microstomus pacificus,accepted,Microstomus pacificus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,274294,11827,89058,Northern California
Hypomesus olidus,Hypomesus olidus,accepted,Hypomesus olidus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,TRUE,TRUE,TRUE,254556,254556,110756,240830,Northern California
Porichthys notatus,Porichthys notatus,accepted,Porichthys notatus,NA,species,Actinopteri,Batrachoidiformes,Batrachoididae,Porichthys,TRUE,FALSE,FALSE,275658,275658,20115,45384,Northern California
Stenobrachius leucopsarus,Stenobrachius leucopsarus,accepted,Stenobrachius leucopsarus,NA,species,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,254363,33993,91658,Northern California
Sebastes entomelas,Sebastes entomelas,accepted,Sebastes entomelas,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274791,274791,16661,72073,Northern California
Sebastes paucispinis,Sebastes paucispinis,accepted,Sebastes paucispinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274833,274833,10777,72093,Northern California
Eucyclogobius newberryi,Eucyclogobius newberryi,accepted,Eucyclogobius newberryi,NA,species,Actinopteri,Gobiiformes,Gobiidae,Eucyclogobius,TRUE,TRUE,FALSE,280737,280737,53816,166745,Northern California
Sardinops sagax,Sardinops sagax,accepted,Sardinops sagax,NA,species,Actinopteri,Clupeiformes,Clupeidae,Sardinops,TRUE,FALSE,FALSE,217452,217452,10866,28381,Northern California
Oligocottus snyderi,Oligocottus snyderi,accepted,Oligocottus snyderi,NA,species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281875,281875,125661,459052,Northern California
Sebastes auriculatus,Sebastes auriculatus,accepted,Sebastes auriculatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274773,274773,140739,72057,Northern California
Cyclothone signata,Cyclothone signata,accepted,Cyclothone signata,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,154831,154831,76497,48453,Northern California
Apodichthys fucorum,Apodichthys fucorum,accepted,Apodichthys fucorum,NA,species,Actinopteri,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279665,279665,125639,57780,Northern California
Trachipterus altivelis,Trachipterus altivelis,accepted,Trachipterus altivelis,NA,species,Actinopteri,Lampriformes,Trachipteridae,Trachipterus,TRUE,FALSE,FALSE,272531,272531,125556,320416,Northern California
Sebastes pinniger,Sebastes pinniger,accepted,Sebastes pinniger,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274836,274836,10778,72094,Northern California
Sebastes flavidus,Sebastes flavidus,accepted,Sebastes flavidus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274795,274795,10709,72076,Northern California
Semicossyphus pulcher,Semicossyphus pulcher,accepted,Semicossyphus pulcher,NA,species,Actinopteri,Eupercaria incertae sedis,Labridae,Semicossyphus,TRUE,FALSE,FALSE,282753,282753,52784,241346,Northern California
Xiphister atropurpureus,Xiphister atropurpureus,accepted,Xiphister atropurpureus,NA,species,Actinopteri,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283194,283194,125640,283024,Northern California
Hypsurus caryi,Hypsurus caryi,accepted,Hypsurus caryi,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hypsurus,TRUE,FALSE,FALSE,240717,240717,NA,100194,Northern California
Icichthys lockingtoni,Icichthys lockingtoni,accepted,Icichthys lockingtoni,NA,species,Actinopteri,Scombriformes,Centrolophidae,Icichthys,TRUE,FALSE,FALSE,279354,279354,59165,302051,Northern California
Artedius lateralis,Artedius lateralis,accepted,Artedius lateralis,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279702,279702,76453,322683,Northern California
Rhacochilus toxotes,Rhacochilus toxotes,accepted,Rhacochilus toxotes,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,TRUE,FALSE,FALSE,282575,282575,140737,100202,Northern California
Anoplarchus purpurescens,Anoplarchus purpurescens,accepted,Anoplarchus purpurescens,NA,species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279633,279633,78132,320623,Northern California
Clinocottus analis,Clinocottus analis,accepted,Clinocottus analis,NA,species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280219,280219,76456,304258,Northern California
Cymatogaster aggregata,Cymatogaster aggregata,accepted,Cymatogaster aggregata,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,TRUE,TRUE,FALSE,280461,280461,11121,50794,Northern California
Mola mola,Mola mola,accepted,Mola mola,NA,species,Actinopteri,Tetraodontiformes,Molidae,Mola,TRUE,FALSE,FALSE,127405,127405,29489,94237,Northern California
Chauliodus macouni,Chauliodus macouni,accepted,Chauliodus macouni,NA,species,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,275055,33959,302055,Northern California
Tactostoma macropus,Tactostoma macropus,accepted,Tactostoma macropus,NA,species,Actinopteri,Stomiiformes,Stomiidae,Tactostoma,TRUE,FALSE,FALSE,282922,282922,33954,319451,Northern California
Gibbonsia metzi,Gibbonsia metzi,accepted,Gibbonsia metzi,NA,species,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,TRUE,FALSE,FALSE,280835,280835,606344,57802,Northern California
Hysterocarpus traskii,Hysterocarpus traskii,accepted,Hysterocarpus traskii,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hysterocarpus,FALSE,TRUE,TRUE,293619,293619,279331,100196,Northern California
Sebastes semicinctus,Sebastes semicinctus,accepted,Sebastes semicinctus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274851,274851,160593,320568,Northern California
Morone saxatilis,Morone saxatilis,accepted,Morone saxatilis,NA,species,Actinopteri,Eupercaria incertae sedis,Moronidae,Morone,TRUE,TRUE,TRUE,151179,151179,50672,34816,Northern California
Lampanyctus ritteri,Lampanyctus ritteri,accepted,Lampanyctus ritteri,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301548,301548,NA,319541,Northern California
Argentina sialis,Argentina sialis,accepted,Argentina sialis,NA,species,Actinopteri,Argentiniformes,Argentinidae,Argentina,TRUE,TRUE,FALSE,272897,272897,71904,260512,Northern California
Cyclothone acclinidens,Cyclothone acclinidens,accepted,Cyclothone acclinidens,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127282,127282,76495,48441,Northern California
Psettichthys melanostictus,Psettichthys melanostictus,accepted,Psettichthys melanostictus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,TRUE,FALSE,FALSE,282396,282396,33913,195639,Northern California
Antimora microlepis,Antimora microlepis,accepted,Antimora microlepis,NA,species,Actinopteri,Gadiformes,Moridae,Antimora,TRUE,FALSE,FALSE,272460,272460,33886,497157,Northern California
Oligocottus maculosus,Oligocottus maculosus,accepted,Oligocottus maculosus,NA,species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,TRUE,FALSE,281872,281872,101369,328410,Northern California
Atherinops affinis,Atherinops affinis,accepted,Atherinops affinis,NA,species,Actinopteri,Atheriniformes,Atherinidae,Atherinops,TRUE,TRUE,FALSE,279812,279812,28060,238741,Northern California
Sebastes wilsoni,Sebastes wilsoni,accepted,Sebastes wilsoni,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274868,274868,10713,72107,Northern California
Sebastes hopkinsi,Sebastes hopkinsi,accepted,Sebastes hopkinsi,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274800,274800,160594,72080,Northern California
Sebastes miniatus,Sebastes miniatus,accepted,Sebastes miniatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274820,274820,33917,72087,Northern California
Peprilus simillimus,Peprilus simillimus,accepted,Peprilus simillimus,NA,species,Actinopteri,Perciformes,Stromateidae,Peprilus,TRUE,FALSE,FALSE,276563,276563,125550,320412,Northern California
Xiphister mucosus,Xiphister mucosus,accepted,Xiphister mucosus,NA,species,Actinopteri,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283195,283195,78130,283031,Northern California
Bathylagoides wesethi,Bathylagoides wesethi,accepted,Bathylagoides wesethi,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Bathylagoides,TRUE,FALSE,FALSE,712444,712444,495757,875769,Northern California
Symbolophorus californiensis,Symbolophorus californiensis,accepted,Symbolophorus californiensis,NA,species,Actinopteri,Myctophiformes,Myctophidae,Symbolophorus,TRUE,FALSE,FALSE,272733,272733,125481,123339,Northern California
Gambusia affinis,Gambusia affinis,accepted,Gambusia affinis,NA,species,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,FALSE,TRUE,TRUE,159325,159325,10908,33528,Northern California
Protomyctophum crockeri,Protomyctophum crockeri,accepted,Protomyctophum crockeri,NA,species,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272731,272731,125480,91656,Northern California
Parophrys vetulus,Parophrys vetulus,accepted,Parophrys vetulus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Parophrys,TRUE,FALSE,FALSE,254393,254393,33893,172659,Northern California
Sebastes rastrelliger,Sebastes rastrelliger,accepted,Sebastes rastrelliger,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274839,274839,160602,72095,Northern California
Lycodapus mandibularis,Lycodapus mandibularis,accepted,Lycodapus mandibularis,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279391,279391,99723,557350,Northern California
Clinocottus globiceps,Clinocottus globiceps,accepted,Clinocottus globiceps,NA,species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280221,280221,125648,459047,Northern California
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,NA,species,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,159463,13145,229290,Northern California
Tetronarce californica,Tetronarce californica,accepted,Tetronarce californica,NA,species,Elasmobranchii,Torpediniformes,Torpedinidae,Tetronarce,TRUE,FALSE,FALSE,845703,845703,NA,7787,Northern California
Lepidogobius lepidus,Lepidogobius lepidus,accepted,Lepidogobius lepidus,NA,species,Actinopteri,Gobiiformes,Gobiidae,Lepidogobius,TRUE,FALSE,FALSE,281292,281292,125624,185746,Northern California
Melanostigma pammelas,Melanostigma pammelas,accepted,Melanostigma pammelas,NA,species,Actinopteri,Perciformes,Zoarcidae,Melanostigma,TRUE,FALSE,FALSE,274134,274134,33999,557412,Northern California
Cebidichthys violaceus,Cebidichthys violaceus,accepted,Cebidichthys violaceus,NA,species,Actinopteri,Perciformes,Stichaeidae,Cebidichthys,TRUE,FALSE,FALSE,280053,280053,125645,271503,Northern California
Apodichthys flavidus,Apodichthys flavidus,accepted,Apodichthys flavidus,NA,species,Actinopteri,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279664,279664,125580,57779,Northern California
Microgadus proximus,Microgadus proximus,accepted,Microgadus proximus,NA,species,Actinopteri,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,275873,15708,80721,Northern California
Gobiesox maeandricus,Gobiesox maeandricus,accepted,Gobiesox maeandricus,NA,species,Actinopteri,Gobiesociformes,Gobiesocidae,Gobiesox,TRUE,FALSE,FALSE,275671,275671,125653,63828,Northern California
Oxylebius pictus,Oxylebius pictus,accepted,Oxylebius pictus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Oxylebius,TRUE,FALSE,FALSE,240743,240743,76502,283620,Northern California
Leptocottus armatus,Leptocottus armatus,accepted,Leptocottus armatus,NA,species,Actinopteri,Perciformes,Cottidae,Leptocottus,TRUE,TRUE,FALSE,254345,254345,59606,214925,Northern California
Sebastes diploproa,Sebastes diploproa,accepted,Sebastes diploproa,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274787,274787,10781,72069,Northern California
Embassichthys bathybius,Embassichthys bathybius,accepted,Embassichthys bathybius,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Embassichthys,TRUE,FALSE,FALSE,280641,280641,33932,320376,Northern California
Lipolagus ochotensis,Lipolagus ochotensis,accepted,Lipolagus ochotensis,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,TRUE,FALSE,FALSE,281374,281374,125598,170193,Northern California
Idiacanthus antrostomus,Idiacanthus antrostomus,accepted,Idiacanthus antrostomus,NA,species,Actinopteri,Stomiiformes,Stomiidae,Idiacanthus,TRUE,FALSE,FALSE,275151,275151,125453,314241,Northern California
Clinocottus recalvus,Clinocottus recalvus,accepted,Clinocottus recalvus,NA,species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280222,280222,125649,283633,Northern California
Paralabrax clathratus,Paralabrax clathratus,accepted,Paralabrax clathratus,NA,species,Actinopteri,Perciformes,Serranidae,Paralabrax,TRUE,FALSE,FALSE,282054,282054,125537,172714,Northern California
Gibbonsia montereyensis,Gibbonsia montereyensis,accepted,Gibbonsia montereyensis,NA,species,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,TRUE,FALSE,FALSE,280836,280836,125652,57803,Northern California
Clevelandia ios,Clevelandia ios,accepted,Clevelandia ios,NA,species,Actinopteri,Gobiiformes,Gobiidae,Clevelandia,TRUE,TRUE,FALSE,280215,280215,NA,185732,Northern California
Liparis florae,Liparis florae,accepted,Liparis florae,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274513,274513,125573,320618,Northern California
Chilara taylori,Chilara taylori,accepted,Chilara taylori,NA,species,Actinopteri,Ophidiiformes,Ophidiidae,Chilara,TRUE,TRUE,FALSE,280146,280146,82766,274688,Northern California
Nectoliparis pelagicus,Nectoliparis pelagicus,accepted,Nectoliparis pelagicus,NA,species,Actinopteri,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,281641,99717,446815,Northern California
Lycodes cortezianus,Lycodes cortezianus,accepted,Lycodes cortezianus,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274097,274097,11374,57818,Northern California
Clupea pallasii,Clupea pallasii,accepted,Clupea pallasii,NA,species,Actinopteri,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,TRUE,151159,151159,33891,30724,Northern California
Entosphenus tridentatus,Entosphenus tridentatus,accepted,Entosphenus tridentatus,NA,species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,TRUE,TRUE,TRUE,314348,314348,82408,245074,Northern California
Acanthogobius flavimanus,Acanthogobius flavimanus,accepted,Acanthogobius flavimanus,NA,species,Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,TRUE,TRUE,TRUE,279475,279475,52653,86203,Northern California
Sebastes levis,Sebastes levis,accepted,Sebastes levis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274812,274812,140835,72083,Northern California
Liparis pulchellus,Liparis pulchellus,accepted,Liparis pulchellus,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274533,274533,99718,433402,Northern California
Hemilepidotus spinosus,Hemilepidotus spinosus,accepted,Hemilepidotus spinosus,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,279413,125615,271501,Northern California
Hypomesus transpacificus,Hypomesus transpacificus,accepted,Hypomesus transpacificus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,FALSE,TRUE,TRUE,279423,279423,NA,137520,Northern California
Sebastes serranoides,Sebastes serranoides,accepted,Sebastes serranoides,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274852,274852,160600,72102,Northern California
Cololabis saira,Cololabis saira,accepted,Cololabis saira,NA,species,Actinopteri,Beloniformes,Scomberesocidae,Cololabis,TRUE,FALSE,FALSE,280366,280366,30380,129043,Northern California
Hexagrammos lagocephalus,Hexagrammos lagocephalus,accepted,Hexagrammos lagocephalus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240735,240735,125616,192377,Northern California
Orthodon microlepidotus,Orthodon microlepidotus,accepted,Orthodon microlepidotus,NA,species,Actinopteri,Cypriniformes,Cyprinidae,Orthodon,FALSE,TRUE,TRUE,281934,281934,NA,71767,Northern California
Sebastes crameri,Sebastes crameri,accepted,Sebastes crameri,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,274785,10788,72067,Northern California
Carcharodon carcharias,Carcharodon carcharias,accepted,Carcharodon carcharias,NA,species,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,TRUE,TRUE,FALSE,105838,105838,16843,13397,Northern California
Lumpenus sagitta,Lumpenus sagitta,accepted,Lumpenus sagitta,NA,species,Actinopteri,Perciformes,Stichaeidae,Lumpenus,TRUE,FALSE,FALSE,254579,254579,13990,428036,Northern California
Genyonemus lineatus,Genyonemus lineatus,accepted,Genyonemus lineatus,NA,species,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Genyonemus,TRUE,FALSE,FALSE,280830,280830,125526,320395,Northern California
Micrometrus minimus,Micrometrus minimus,accepted,Micrometrus minimus,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,TRUE,FALSE,FALSE,281562,281562,141912,50814,Northern California
Apristurus brunneus,Apristurus brunneus,accepted,Apristurus brunneus,NA,species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,TRUE,FALSE,FALSE,158512,158512,33928,428037,Northern California
Micrometrus aurora,Micrometrus aurora,accepted,Micrometrus aurora,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,TRUE,FALSE,FALSE,281561,281561,NA,1634945,Northern California
Oligocottus rubellio,Oligocottus rubellio,accepted,Oligocottus rubellio,NA,species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281874,281874,125660,459051,Northern California
Syngnathus californiensis,Syngnathus californiensis,accepted,Syngnathus californiensis,NA,species,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,TRUE,FALSE,FALSE,275218,275218,125551,320413,Northern California
Eucryphycus californicus,Eucryphycus californicus,accepted,Eucryphycus californicus,NA,species,Actinopteri,Perciformes,Zoarcidae,Eucryphycus,TRUE,FALSE,FALSE,280736,280736,140358,1311546,Northern California
Pseudobathylagus milleri,Pseudobathylagus milleri,accepted,Pseudobathylagus milleri,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Pseudobathylagus,TRUE,FALSE,FALSE,282406,282406,34556,301820,Northern California
Chromis punctipinnis,Chromis punctipinnis,accepted,Chromis punctipinnis,NA,species,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Chromis,TRUE,FALSE,FALSE,273751,273751,125512,231457,Northern California
Alepocephalus tenebrosus,Alepocephalus tenebrosus,accepted,Alepocephalus tenebrosus,NA,species,Actinopteri,Alepocephaliformes,Alepocephalidae,Alepocephalus,TRUE,FALSE,FALSE,272849,272849,30297,170189,Northern California
Ascelichthys rhodorus,Ascelichthys rhodorus,accepted,Ascelichthys rhodorus,NA,species,Actinopteri,Perciformes,Cottidae,Ascelichthys,TRUE,FALSE,FALSE,279706,279706,784709,1738886,Northern California
Argyropelecus sladeni,Argyropelecus sladeni,accepted,Argyropelecus sladeni,NA,species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,158837,158837,125543,81870,Northern California
Pogonichthys macrolepidotus,Pogonichthys macrolepidotus,accepted,Pogonichthys macrolepidotus,NA,species,Actinopteri,Cypriniformes,Cyprinidae,Pogonichthys,FALSE,TRUE,TRUE,282310,282310,NA,86928,Northern California
Cottus aleuticus,Cottus aleuticus,accepted,Cottus aleuticus,NA,species,Actinopteri,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274366,274366,NA,214914,Northern California
Oligocottus rimensis,Oligocottus rimensis,accepted,Oligocottus rimensis,NA,species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281873,281873,125659,459050,Northern California
Artedius notospilotus,Artedius notospilotus,accepted,Artedius notospilotus,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279703,279703,76454,305505,Northern California
Triphoturus mexicanus,Triphoturus mexicanus,accepted,Triphoturus mexicanus,NA,species,Actinopteri,Myctophiformes,Myctophidae,Triphoturus,TRUE,FALSE,FALSE,278566,278566,125486,242287,Northern California
Parmaturus xaniurus,Parmaturus xaniurus,accepted,Parmaturus xaniurus,NA,species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Parmaturus,TRUE,FALSE,FALSE,282166,282166,92276,320401,Northern California
Sebastes nebulosus,Sebastes nebulosus,accepted,Sebastes nebulosus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274824,274824,NA,394698,Northern California
Squalus suckleyi,Squalus suckleyi,accepted,Squalus suckleyi,NA,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,299224,299224,319303,7798,Northern California
Argyropelecus affinis,Argyropelecus affinis,accepted,Argyropelecus affinis,NA,species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,127307,127307,125542,81869,Northern California
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,254549,33941,274785,Northern California
Anarrhichthys ocellatus,Anarrhichthys ocellatus,accepted,Anarrhichthys ocellatus,NA,species,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys,TRUE,FALSE,FALSE,279605,279605,NA,433405,Northern California
Beringraja binoculata,Beringraja binoculata,accepted,Beringraja binoculata,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1021330,1021330,NA,NA,Northern California
Bathylagus pacificus,Bathylagus pacificus,accepted,Bathylagus pacificus,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus,TRUE,FALSE,FALSE,272919,272919,91472,557336,Northern California
Trachurus symmetricus,Trachurus symmetricus,accepted,Trachurus symmetricus,NA,species,Actinopteri,Carangiformes,Carangidae,Trachurus,TRUE,FALSE,FALSE,273305,273305,58295,271940,Northern California
Artedius harringtoni,Artedius harringtoni,accepted,Artedius harringtoni,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279701,279701,125642,433399,Northern California
Platichthys stellatus,Platichthys stellatus,accepted,Platichthys stellatus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,154781,33910,195632,Northern California
Cyprinus carpio,Cyprinus carpio,accepted,Cyprinus carpio,NA,species,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,FALSE,TRUE,TRUE,154582,154582,27257,7962,Northern California
Atherinopsis californiensis,Atherinopsis californiensis,accepted,Atherinopsis californiensis,NA,species,Actinopteri,Atheriniformes,Atherinidae,Atherinopsis,TRUE,FALSE,FALSE,279813,279813,140353,1311532,Northern California
Coryphaenoides acrolepis,Coryphaenoides acrolepis,accepted,Coryphaenoides acrolepis,NA,species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272313,272313,33884,83390,Northern California
Hyperprosopon argenteum,Hyperprosopon argenteum,accepted,Hyperprosopon argenteum,NA,species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,TRUE,FALSE,FALSE,281098,281098,483226,100192,Northern California
Enophrys bison,Enophrys bison,accepted,Enophrys bison,NA,species,Actinopteri,Perciformes,Cottidae,Enophrys,TRUE,FALSE,FALSE,275355,275355,125570,320617,Northern California
Danaphos oculatus,Danaphos oculatus,accepted,Danaphos oculatus,NA,species,Actinopteri,Stomiiformes,Sternoptychidae,Danaphos,TRUE,FALSE,FALSE,280483,280483,503706,875787,Northern California
Girella nigricans,Girella nigricans,accepted,Girella nigricans,NA,species,Actinopteri,Centrarchiformes,Kyphosidae,Girella,TRUE,FALSE,FALSE,280865,280865,125455,214657,Northern California
Squalus acanthias,Squalus acanthias,accepted,Squalus acanthias,NA,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,105923,12653,7797,Northern California
Sebastes rufus,Sebastes rufus,accepted,Sebastes rufus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274847,274847,160605,72100,Northern California
Argyropelecus hemigymnus,Argyropelecus hemigymnus,accepted,Argyropelecus hemigymnus,NA,species,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,TRUE,FALSE,FALSE,127309,127309,59409,68504,Northern California
Ceratoscopelus townsendi,Ceratoscopelus townsendi,accepted,Ceratoscopelus townsendi,NA,species,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,TRUE,FALSE,FALSE,272656,272656,125476,875772,Northern California
Pleuronichthys decurrens,Pleuronichthys decurrens,accepted,Pleuronichthys decurrens,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282292,282292,34549,320379,Northern California
Orthonopias triacis,Orthonopias triacis,accepted,Orthonopias triacis,NA,species,Actinopteri,Perciformes,Cottidae,Orthonopias,TRUE,FALSE,FALSE,281935,281935,76461,305512,Northern California
Sebastes serriceps,Sebastes serriceps,accepted,Sebastes serriceps,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274853,274853,160597,201707,Northern California
Beringraja inornata,Beringraja inornata,accepted,Beringraja inornata,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461134,1461134,NA,NA,Northern California
Lestidiops ringens,Lestidiops ringens,accepted,Lestidiops ringens,NA,species,Actinopteri,Aulopiformes,Paralepididae,Lestidiops,TRUE,FALSE,FALSE,272096,272096,125494,319759,Northern California
Bathophilus flemingi,Bathophilus flemingi,accepted,Bathophilus flemingi,NA,species,Actinopteri,Stomiiformes,Stomiidae,Bathophilus,TRUE,FALSE,FALSE,275046,275046,125474,319449,Northern California
Anoplogaster cornuta,Anoplogaster cornuta,accepted,Anoplogaster cornuta,NA,species,Actinopteri,Trachichthyiformes,Anoplogastridae,Anoplogaster,TRUE,FALSE,FALSE,126393,126393,28698,88656,Northern California
Sagamichthys abei,Sagamichthys abei,accepted,Sagamichthys abei,NA,species,Actinopteri,Alepocephaliformes,Platytroctidae,Sagamichthys,TRUE,FALSE,FALSE,234630,234630,33975,319782,Northern California
