region,gbifIDs,approximate_match,number_matches,kingdom,phylum,class,order,family,genus,species
"Oregon, Washington, Vancouver Coast and Shelf",2375974,FALSE,1,Animalia,Chordata,NA,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
California Current,2336400,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis caecus
Southern California Bight,2336400,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis caecus
Subarctic Pacific,2336401,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis opercularis
"Oregon, Washington, Vancouver Coast and Shelf",2336401,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis opercularis
California Current,2336401,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis opercularis
North American Pacific Fijordland,2336401,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Acantholiparis,Acantholiparis opercularis
Puget Trough/Georgia Basin,2395001,FALSE,1,Animalia,Chordata,NA,Perciformes,Stichaeidae,Acantholumpenus,Acantholumpenus mackayi
Aleutian Islands,2395001,FALSE,1,Animalia,Chordata,NA,Perciformes,Stichaeidae,Acantholumpenus,Acantholumpenus mackayi
Gulf of Alaska,2395001,FALSE,1,Animalia,Chordata,NA,Perciformes,Stichaeidae,Acantholumpenus,Acantholumpenus mackayi
Subarctic Pacific,2345632,FALSE,1,Animalia,Chordata,NA,Ophidiiformes,Ophidiidae,Acanthonus,Acanthonus armatus
North American Pacific Fijordland,2345632,FALSE,1,Animalia,Chordata,NA,Ophidiiformes,Ophidiidae,Acanthonus,Acanthonus armatus
North Central Pacific Gyre,2408186,FALSE,1,Animalia,Chordata,NA,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius
Southern California Bight,2408197,FALSE,1,Animalia,Chordata,NA,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis
"Oregon, Washington, Vancouver Coast and Shelf",2408197,FALSE,1,Animalia,Chordata,NA,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis
North Central Pacific Gyre,5209178,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus achilles
North Central Pacific Gyre,5209262,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus albipectoralis
North Central Pacific Gyre,5209203,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus blochii
North Central Pacific Gyre,5209167,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
North Central Pacific Gyre,5209230,TRUE,5,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus elongatus
North Central Pacific Gyre,5209152,FALSE,2,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus guttatus
North Central Pacific Gyre,5209183,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucopareius
North Central Pacific Gyre,5209204,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus mata
North Central Pacific Gyre,5209162,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans
North Central Pacific Gyre,5209160,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricauda
North Central Pacific Gyre,5209227,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus
North Central Pacific Gyre,5209231,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigroris
North Central Pacific Gyre,5209196,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
North Central Pacific Gyre,5209215,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus thompsoni
North Central Pacific Gyre,5209217,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
North Central Pacific Gyre,5209252,FALSE,1,Animalia,Chordata,NA,Perciformes,Acanthuridae,Acanthurus,Acanthurus xanthopterus
California Current,2408227,FALSE,1,Animalia,Chordata,NA,Pleuronectiformes,Achiridae,Achirus,Achirus mazatlanus
California Current,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
"Oregon, Washington, Vancouver Coast and Shelf",2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
Northern California,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
Subarctic Pacific,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
Southern California Bight,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
North American Pacific Fijordland,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
Gulf of Alaska,2402118,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
"Oregon, Washington, Vancouver Coast and Shelf",2402203,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio
Puget Trough/Georgia Basin,2402122,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
California Current,2402122,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
"Oregon, Washington, Vancouver Coast and Shelf",2402122,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
Northern California,2402122,FALSE,1,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
North Central Pacific Gyre,2403108,FALSE,1,Animalia,Chordata,NA,Anguilliformes,Congridae,Acromycter,Acromycter alcocki
Gulf of Alaska,2335327,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Sebastidae,Adelosebastes,Adelosebastes latens
Aleutian Islands,2335327,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Sebastidae,Adelosebastes,Adelosebastes latens
Subarctic Pacific,2335327,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Sebastidae,Adelosebastes,Adelosebastes latens
California Current,2337152,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonomalus,Agonomalus mozinoi
Northern California,2337152,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonomalus,Agonomalus mozinoi
Puget Trough/Georgia Basin,2337152,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonomalus,Agonomalus mozinoi
Gulf of Alaska,2337152,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonomalus,Agonomalus mozinoi
"Oregon, Washington, Vancouver Coast and Shelf",2337152,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonomalus,Agonomalus mozinoi
Northern California,5201658,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis sterletus
Southern California Bight,5201658,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis sterletus
California Current,5201658,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis sterletus
Subarctic Pacific,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
California Current,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
Puget Trough/Georgia Basin,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
North American Pacific Fijordland,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
"Oregon, Washington, Vancouver Coast and Shelf",5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
Northern California,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
Southern California Bight,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
Gulf of Alaska,5201655,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa
North Central Pacific Gyre,2401044,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Notosudidae,Ahliesaurus,Ahliesaurus brevis
Subarctic Pacific,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
Gulf of Alaska,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
California Current,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
Northern California,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
"Oregon, Washington, Vancouver Coast and Shelf",5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
Aleutian Islands,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
North American Pacific Fijordland,5215154,FALSE,1,Animalia,Chordata,NA,Gadiformes,Macrouridae,Albatrossia,Albatrossia pectoralis
California Current,5204104,FALSE,1,Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula vulpes
Southern California Bight,5204104,FALSE,1,Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula vulpes
North Central Pacific Gyre,5213262,FALSE,1,Animalia,Chordata,NA,Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia affinis
North Central Pacific Gyre,5213264,FALSE,1,Animalia,Chordata,NA,Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia phalacra
California Current,2390537,FALSE,1,Animalia,Chordata,NA,Perciformes,Carangidae,Alectis,Alectis ciliaris
"Oregon, Washington, Vancouver Coast and Shelf",2390537,FALSE,1,Animalia,Chordata,NA,Perciformes,Carangidae,Alectis,Alectis ciliaris
North Central Pacific Gyre,2390537,FALSE,1,Animalia,Chordata,NA,Perciformes,Carangidae,Alectis,Alectis ciliaris
Aleutian Islands,2394776,FALSE,1,Animalia,Chordata,NA,Perciformes,Stichaeidae,Alectridium,Alectridium aurantiacum
North Central Pacific Gyre,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
Northern California,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
Subarctic Pacific,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
"Oregon, Washington, Vancouver Coast and Shelf",2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
Gulf of Alaska,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
Aleutian Islands,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
Southern California Bight,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
California Current,2401692,FALSE,1,Animalia,Chordata,NA,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox
North Central Pacific Gyre,5214390,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus blanfordii
Gulf of Alaska,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
Northern California,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
North American Pacific Fijordland,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
"Oregon, Washington, Vancouver Coast and Shelf",5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
Subarctic Pacific,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
California Current,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
Southern California Bight,5214405,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus
North American Pacific Fijordland,2336105,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus jordani
Aleutian Islands,2336105,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus jordani
Subarctic Pacific,2336105,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus jordani
Aleutian Islands,2336104,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus kallaion
Subarctic Pacific,2336104,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus kallaion
Aleutian Islands,2336102,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus tanix
Subarctic Pacific,2336102,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus tanix
Aleutian Islands,2336101,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus unangas
Subarctic Pacific,2336101,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus unangas
Aleutian Islands,2336108,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus ungak
Subarctic Pacific,2336108,FALSE,1,Animalia,Chordata,NA,Scorpaeniformes,Liparidae,Allocareproctus,Allocareproctus ungak
California Current,2389598,FALSE,1,Animalia,Chordata,NA,Perciformes,Labrisomidae,Alloclinus,Alloclinus holderi
Southern California Bight,2389598,FALSE,1,Animalia,Chordata,NA,Perciformes,Labrisomidae,Alloclinus,Alloclinus holderi
Northern California,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
"Oregon, Washington, Vancouver Coast and Shelf",2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
Subarctic Pacific,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
Puget Trough/Georgia Basin,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
Gulf of Alaska,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
Aleutian Islands,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
California Current,2415342,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus folletti
North Central Pacific Gyre,2415343,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus verrucosus
Subarctic Pacific,2415343,FALSE,1,Animalia,Chordata,NA,Zeiformes,Oreosomatidae,Allocyttus,Allocyttus verrucosus
Northern California,2410865,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
Puget Trough/Georgia Basin,2410865,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
North American Pacific Fijordland,2410865,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
"Oregon, Washington, Vancouver Coast and Shelf",2410865,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
California Current,2410865,FALSE,1,Animalia,Chordata,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
Puget Trough/Georgia Basin,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
North American Pacific Fijordland,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
"Oregon, Washington, Vancouver Coast and Shelf",2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
Southern California Bight,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
Northern California,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
California Current,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
Subarctic Pacific,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
Gulf of Alaska,2412661,FALSE,1,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima
California Current,2387800,FALSE,1,Animalia,Chordata,NA,Perciformes,Serranidae,Alphestes,Alphestes immaculatus
North Central Pacific Gyre,2406721,FALSE,1,Animalia,Chordata,NA,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus
North Central Pacific Gyre,2375106,FALSE,1,Animalia,Chordata,NA,Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus bimacula
Northern California,2340972,FALSE,1,Animalia,Chordata,NA,Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus
California Current,2340972,FALSE,1,Animalia,Chordata,NA,Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus
"Oregon, Washington, Vancouver Coast and Shelf",2340972,FALSE,1,Animalia,Chordata,NA,Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus
"Oregon, Washington, Vancouver Coast and Shelf",2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Puget Trough/Georgia Basin,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Subarctic Pacific,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Gulf of Alaska,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
North American Pacific Fijordland,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
California Current,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Northern California,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Aleutian Islands,2389995,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
North American Pacific Fijordland,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
"Oregon, Washington, Vancouver Coast and Shelf",2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Gulf of Alaska,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Northern California,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Aleutian Islands,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
California Current,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Puget Trough/Georgia Basin,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Subarctic Pacific,2389997,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus
Puget Trough/Georgia Basin,2389991,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
California Current,2389991,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
Gulf of Alaska,2389991,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
Northern California,2389991,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
Subarctic Pacific,2389991,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
North Central Pacific Gyre,2389981,FALSE,1,Animalia,Chordata,NA,Perciformes,Ammodytidae,Ammodytoides,Ammodytoides pylei
North Central Pacific Gyre,2383881,FALSE,1,Animalia,Chordata,NA,Perciformes,Labridae,Ammolabrus,Ammolabrus dicrus
Puget Trough/Georgia Basin,5212111,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Amphiprion,Amphiprion frenatus
Puget Trough/Georgia Basin,5212059,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Amphiprion,Amphiprion perideraion
California Current,2389248,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus
Gulf of Alaska,2389248,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus
Northern California,2389248,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus
Southern California Bight,2389248,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus argenteus
"Oregon, Washington, Vancouver Coast and Shelf",2389258,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus koelzi
Northern California,2389258,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus koelzi
Southern California Bight,2389258,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus koelzi
California Current,2389258,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus koelzi
Puget Trough/Georgia Basin,2389252,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus
"Oregon, Washington, Vancouver Coast and Shelf",2389252,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus
Northern California,2389252,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus
California Current,2389252,FALSE,1,Animalia,Chordata,NA,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus
Southern California Bight,7924816,FALSE,1,Animalia,Chordata,NA,Cyprinodontiformes,Rivulidae,Anablepsoides,Anablepsoides hartii
North Central Pacific Gyre,2383464,FALSE,1,Animalia,Chordata,NA,Perciformes,Labridae,Anampses,Anampses chrysocephalus
North Central Pacific Gyre,2383461,FALSE,1,Animalia,Chordata,NA,Perciformes,Labridae,Anampses,Anampses cuvier
North Central Pacific Gyre,2404363,FALSE,1,Animalia,Chordata,NA,Anguilliformes,Muraenidae,Anarchias,Anarchias seychellensis
Subarctic Pacific,2392206,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarhichas,Anarhichas orientalis
Aleutian Islands,2392206,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarhichas,Anarhichas orientalis
Gulf of Alaska,2392206,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarhichas,Anarhichas orientalis
North American Pacific Fijordland,2392219,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
Subarctic Pacific,2392219,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
Northern California,2392219,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
Aleutian Islands,2392219,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
Gulf of Alaska,2392219,FALSE,1,Animalia,Chordata,NA,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
