scientificName,taxonID,taxonRank,kingdom,phylum,class,order,family,genus,species,province
Ciconiiformes,148746,Order,Animalia,Chordata,Aves,Ciconiiformes,NA,NA,NA,California Current
Asbestopluma,131893,Genus,Animalia,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Asbestopluma,NA,California Current
Sebastes diploproa,274787,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes diploproa,California Current
Mycale,131907,Genus,Animalia,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,NA,California Current
Balticina,146534,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,NA,California Current
Acanthogorgia,125293,Genus,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Paramuriceidae,Acanthogorgia,NA,California Current
Balticina californica,1392940,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Balticinidae,Balticina,Balticina californica,California Current
Lepidisis,125307,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Lepidisis,NA,California Current
Octocorallia,1341,Subclass,Animalia,Cnidaria,Anthozoa,NA,NA,NA,NA,California Current
Zalophus californianus,255003,Species,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,California Current
Sebastes zacentrus,274869,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes zacentrus,California Current
Mitrocoma cellularia,292350,Species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocoma,Mitrocoma cellularia,California Current
Anthomastus,125285,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Anthomastus,NA,California Current
Hexagrammos decagrammus,240732,Species,Animalia,Chordata,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,California Current
Scleractinia,1363,Order,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,NA,NA,California Current
Sebastes elongatus,274788,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes elongatus,California Current
Callistephanus pacificus,1567760,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,Callistephanus pacificus,California Current
Hyocrinus,340805,Genus,Animalia,Echinodermata,Crinoidea,Hyocrinida,Hyocrinidae,Hyocrinus,NA,California Current
Embiotoca jacksoni,240746,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,Embiotoca jacksoni,California Current
Oxyjulis californica,240727,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Oxyjulis,Oxyjulis californica,California Current
Larus,137043,Genus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,NA,California Current
Sebastes atrovirens,274772,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes atrovirens,California Current
Puffinus creatopus,343986,Species,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus creatopus,California Current
Phoebastria nigripes,344106,Species,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria nigripes,California Current
Parastenella,267700,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Parastenella,NA,California Current
Asteroidea,123080,Class,Animalia,Echinodermata,Asteroidea,NA,NA,NA,NA,California Current
Rissa tridactyla,137156,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,California Current
Isidella,125305,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Isidella,NA,California Current
Cerorhinca monocerata,344029,Species,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,Cerorhinca monocerata,California Current
Deltaproteobacteria,392754,Class,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,NA,NA,California Current
Actiniidae,100653,Family,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,NA,NA,California Current
Procellariidae,136998,Family,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,NA,NA,California Current
Hexactinellida,22612,Class,Animalia,Porifera,Hexactinellida,NA,NA,NA,NA,California Current
Nanomia bijuga,135495,Species,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga,California Current
Sclerothamnopsis,171809,Genus,Animalia,Porifera,Hexactinellida,Sceptrulophora,Tretodictyidae,Sclerothamnopsis,NA,California Current
Primnoidae,125278,Family,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,NA,NA,California Current
Paragorgia pacifica,517887,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,Paragorgia pacifica,California Current
Chaetognatha,2081,Phylum,Animalia,Chaetognatha,NA,NA,NA,NA,NA,California Current
Planctomycetaceae,565463,Family,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,NA,NA,California Current
Eusergestes similis,514127,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,Eusergestes similis,California Current
Gammaproteobacteria,393018,Class,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,California Current
Adelogorgia phyllosclera,289357,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Adelogorgia,Adelogorgia phyllosclera,California Current
Patiria miniata,382131,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,California Current
Sebastes flavidus,274795,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes flavidus,California Current
Actiniaria,1360,Order,Animalia,Cnidaria,Anthozoa,Actiniaria,NA,NA,NA,California Current
Amoebophryaceae,109401,Family,Chromista,Myzozoa,Dinophyceae,Syndiniales,Amoebophryaceae,NA,NA,California Current
Poeobius meseres,330855,Species,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Poeobius,Poeobius meseres,California Current
Lobata,1258,Order,Animalia,Ctenophora,Tentaculata,Lobata,NA,NA,NA,California Current
Florometra serratissima,714272,Species,Animalia,Echinodermata,Crinoidea,Comatulida,Antedonidae,Florometra,Florometra serratissima,California Current
Heterochone calyx,171636,Species,Animalia,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Heterochone,Heterochone calyx,California Current
Mysidae,119822,Family,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,NA,NA,California Current
Thenea muricata,134106,Species,Animalia,Porifera,Demospongiae,Tetractinellida,Theneidae,Thenea,Thenea muricata,California Current
Pterygophora californica,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,Pterygophora californica,California Current
Appendicularia,103357,Genus,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,NA,California Current
Calycophorae,135333,Suborder,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA,California Current
Rathbunaster californicus,254844,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Rathbunaster,Rathbunaster californicus,California Current
Phanerodon vacca,1577347,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Phanerodon,Phanerodon vacca,California Current
Pelecanus occidentalis,343935,Species,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus occidentalis,California Current
Amoebophrya,109448,Genus,Chromista,Myzozoa,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,NA,California Current
Chonelasma,132102,Genus,Animalia,Porifera,Hexactinellida,Sceptrulophora,Euretidae,Chonelasma,NA,California Current
Antipatharia,22549,Order,Animalia,Cnidaria,Anthozoa,Antipatharia,NA,NA,NA,California Current
Pannychia moseleyi,241954,Species,Animalia,Echinodermata,Holothuroidea,Elasipodida,Laetmogonidae,Pannychia,Pannychia moseleyi,California Current
Delphinus delphis,137094,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,Delphinus delphis,California Current
Corallinaceae,143691,Family,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,NA,NA,California Current
Coralliidae,125280,Family,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,NA,NA,California Current
Sebastes helvomaculatus,274799,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes helvomaculatus,California Current
Myctophidae,125498,Family,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,NA,NA,California Current
Sebastes babcocki,274775,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes babcocki,California Current
Semicossyphus pulcher,282753,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Semicossyphus,Semicossyphus pulcher,California Current
Pleuronectiformes,10331,Order,Animalia,Chordata,Teleostei,Pleuronectiformes,NA,NA,NA,California Current
Tarletonbeania crenularis,282927,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,Tarletonbeania crenularis,California Current
Plantae,3,Kingdom,Plantae,NA,NA,NA,NA,NA,NA,California Current
Strongylocentrotus purpuratus,240747,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus,California Current
Laridae,136988,Family,Animalia,Chordata,Aves,Charadriiformes,Laridae,NA,NA,California Current
Euphausiacea,1128,Order,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,California Current
Larus argentatus,137138,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,California Current
Phalaropus fulicarius,137168,Species,Animalia,Chordata,Aves,Charadriiformes,Phalaropodidae,Phalaropus,Phalaropus fulicarius,California Current
Lyopsetta exilis,281452,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,California Current
Salpida,137214,Order,Animalia,Chordata,Thaliacea,Salpida,NA,NA,NA,California Current
Farrea,132107,Genus,Animalia,Porifera,Hexactinellida,Sceptrulophora,Farreidae,Farrea,NA,California Current
Sessilia,106033,Order,Animalia,Arthropoda,Thecostraca,Sessilia,NA,NA,NA,California Current
Paralabrax clathratus,282054,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus,California Current
Callistephanus simplex,1608733,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,Callistephanus simplex,California Current
Sebastes chrysomelas,240737,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes chrysomelas,California Current
Crinoidea,123081,Class,Animalia,Echinodermata,Crinoidea,NA,NA,NA,NA,California Current
Solmissus,117074,Genus,Animalia,Cnidaria,Hydrozoa,Narcomedusae,Cuninidae,Solmissus,NA,California Current
Gastropoda,101,Class,Animalia,Mollusca,Gastropoda,NA,NA,NA,NA,California Current
Gorgonocephalus,123586,Genus,Animalia,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,NA,California Current
Callistephanus kofoidi,1608731,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Callistephanus,Callistephanus kofoidi,California Current
Pennatulidae,128484,Family,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,NA,NA,California Current
Squalus suckleyi,299224,Species,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,California Current
Stylaster parageus,592250,Species,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,Stylaster parageus,California Current
Callorhinus ursinus,254997,Species,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Callorhinus,Callorhinus ursinus,California Current
Citharichthys sordidus,275694,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,California Current
Proteobacteria,178054,Phylum,Bacteria,Proteobacteria,NA,NA,NA,NA,NA,California Current
Phyllospadix,370041,Genus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NA,California Current
Alphaproteobacteria,392750,Class,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,California Current
Sebastes jordani,274806,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes jordani,California Current
Phocoenoides dalli,254987,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Phocoenoides,Phocoenoides dalli,California Current
Mesocentrotus franciscanus,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Mesocentrotus franciscanus,California Current
Swiftia,125314,Genus,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Plexauridae,Swiftia,NA,California Current
Sebastolobus,270859,Genus,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastolobus,NA,California Current
Ophiodon elongatus,240745,Species,Animalia,Chordata,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,California Current
Sebastes proriger,274838,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes proriger,California Current
Cololabis saira,280366,Species,Animalia,Chordata,Actinopteri,Beloniformes,Scomberesocidae,Cololabis,Cololabis saira,California Current
Stenobrachius leucopsarus,254363,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,California Current
Macrouridae,125471,Family,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,NA,NA,California Current
Stylaster californicus,285860,Species,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,Stylaster californicus,California Current
Antipathes dendrochristos,283893,Species,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,Antipathes dendrochristos,California Current
Phyllophoraceae,143738,Family,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,NA,NA,California Current
Endocladia muricata,372566,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,Endocladia muricata,California Current
Pisaster giganteus,240758,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,California Current
Sebastes melanops,274817,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes melanops,California Current
Citharichthys stigmaeus,275696,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,California Current
Aechmophorus occidentalis,366617,Species,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis,California Current
Leuroglossus stilbius,313514,Species,Animalia,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,Leuroglossus stilbius,California Current
Hypsypops rubicundus,281130,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Hypsypops,Hypsypops rubicundus,California Current
Sebastes carnatus,274779,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes carnatus,California Current
Stercorarius pomarinus,137173,Species,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius pomarinus,California Current
Ophiurida,123117,Order,Animalia,Echinodermata,Ophiuroidea,Ophiurida,NA,NA,NA,California Current
Enhydra lutris,242598,Species,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra lutris,California Current
Cryptochiton stelleri,240776,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,California Current
Narella,125319,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Narella,NA,California Current
Keratoisididae,1544106,Family,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,NA,NA,California Current
Halichoeres semicinctus,275798,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Halichoeres,Halichoeres semicinctus,California Current
Poecillastra,132016,Genus,Animalia,Porifera,Demospongiae,Tetractinellida,Vulcanellidae,Poecillastra,NA,California Current
Larus philadelphia,159076,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus philadelphia,California Current
Bolinopsis,106350,Genus,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,NA,California Current
Cydippida,1251,Order,Animalia,Ctenophora,Tentaculata,Cydippida,NA,NA,NA,California Current
Plumarella longispina,287671,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,Plumarella longispina,California Current
Diaphus theta,272694,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,California Current
Gavia,137057,Genus,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,NA,California Current
Rhodophyta,852,Phylum (Division),Plantae,Rhodophyta,NA,NA,NA,NA,NA,California Current
Mirounga angustirostris,255018,Species,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,California Current
Mytilus californianus,367837,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus californianus,California Current
Pennatula phosphorea,128517,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Pennatula,Pennatula phosphorea,California Current
Sebastes pinniger,274836,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes pinniger,California Current
Umbellula,128499,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Umbellulidae,Umbellula,NA,California Current
Eisenia arborea,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,California Current
Sebastes crameri,274785,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes crameri,California Current
Grampus griseus,137098,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,Grampus griseus,California Current
Acidobacteriaceae,571179,Family,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,NA,NA,California Current
Trachipterus altivelis,272531,Species,Animalia,Chordata,Actinopteri,Lampriformes,Trachipteridae,Trachipterus,Trachipterus altivelis,California Current
Anthoptilum grandiflorum,128504,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,California Current
Phalacrocorax,137054,Genus,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,NA,California Current
Sebastes brevispinis,274778,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes brevispinis,California Current
Chromoplexaura marki,724231,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Chromoplexaura,Chromoplexaura marki,California Current
Haliotis rufescens,445357,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis rufescens,California Current
Cetacea,2688,Infraorder,Animalia,Chordata,Mammalia,Cetartiodactyla,NA,NA,NA,California Current
Leptogorgia chilensis,286222,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia chilensis,California Current
Bathydorus spinosus,172036,Species,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Bathydorus,Bathydorus spinosus,California Current
Gersemia,146953,Genus,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Gersemia,NA,California Current
Balaenoptera physalus,137091,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera physalus,California Current
Heterochone,171634,Genus,Animalia,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Heterochone,NA,California Current
Haliclona (Flagellia) edaphus,1036226,Species,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona (Flagellia) edaphus,California Current
Chauliodus macouni,275055,Species,Animalia,Chordata,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,Chauliodus macouni,California Current
